file_id,T,tr,min_valid_vox,OLD_max_abs,OLD_max_rel,OLD_mean_abs,M1_max_abs,M1_max_rel,M1_mean_abs,M2_max_abs,M2_max_rel,M2_mean_abs
CMU_a_0050668,236,2.0,61,3.552713678800501e-15,4.664019432873027e-16,3.770646346597291e-16,3.552713678800501e-15,3.7492471948719084e-16,3.3142213253625046e-16,3.552713678800501e-15,4.1483862453890464e-16,6.743576890315766e-16
Caltech_0051490,146,2.0,47,1.7763568394002505e-15,4.320241926094608e-16,2.0025133814535232e-16,1.7763568394002505e-15,4.00190251542866e-16,1.5872077315011497e-16,3.552713678800501e-15,5.125564009489603e-16,4.5395785895784175e-16
KKI_0050800,152,2.5,62,7.105427357601002e-15,4.078926386508321e-16,5.238607901379442e-16,3.552713678800501e-15,4.713121854148917e-16,3.8158776550079455e-16,7.105427357601002e-15,3.7289974563068966e-16,9.93444010183103e-16
Leuven_1_0050696,246,1.667099952697754,17,3.552713678800501e-15,6.605830553803032e-16,2.843404524178873e-16,3.552713678800501e-15,5.301675072563271e-16,3.503370433261605e-16,5.329070518200751e-15,5.498298045320798e-16,6.628442650725009e-16
Leuven_2_0050742,246,1.6515300273895264,30,3.552713678800501e-15,5.596662209137509e-16,3.3368369795678316e-16,3.552713678800501e-15,4.3339032151487264e-16,4.1283848767542856e-16,5.329070518200751e-15,3.920008964068037e-16,7.138322854626932e-16
MaxMun_b_0051325,116,3.0,46,1.3322676295501878e-15,4.497087430372494e-16,1.8051403992979398e-16,1.3322676295501878e-15,5.264064342290856e-16,1.4720734919103928e-16,3.552713678800501e-15,4.301367075561128e-16,3.980355140137598e-16
MaxMun_d_0051361,196,3.0,62,5.329070518200751e-15,6.351221008947719e-16,5.016563296454411e-16,3.552713678800501e-15,4.57787244640598e-16,5.098802039019237e-16,7.105427357601002e-15,4.337606265679098e-16,1.2960825828216642e-15
NYU_0050988,176,2.0,62,3.552713678800501e-15,4.588596593515237e-16,3.120960280335162e-16,3.552713678800501e-15,4.0128644930212647e-16,3.1250722174634037e-16,7.105427357601002e-15,4.887166281083483e-16,1.0066022089934752e-15
NYU_0051024,176,2.0,61,3.552713678800501e-15,4.780966426010597e-16,3.088064783309232e-16,3.552713678800501e-15,4.0039903418622153e-16,3.3142213253625046e-16,1.0658141036401503e-14,7.356027630616428e-16,9.737067119675447e-16
NYU_0051059,176,2.0,62,2.6645352591003757e-15,4.633302170708036e-16,3.4581391248509504e-16,2.6645352591003757e-15,4.0726885212291617e-16,3.4458033134662265e-16,7.105427357601002e-15,5.316426232342951e-16,1.0329186066142197e-15
