feature_index,ROI_i,ROI_j,i,j
0,Precentral_L,Precentral_R,0,1
1,Precentral_L,Frontal_Sup_L,0,2
2,Precentral_L,Frontal_Sup_R,0,3
3,Precentral_L,Frontal_Sup_Orb_L,0,4
4,Precentral_L,Frontal_Sup_Orb_R,0,5
5,Precentral_L,Frontal_Mid_L,0,6
6,Precentral_L,Frontal_Mid_R,0,7
7,Precentral_L,Frontal_Mid_Orb_L,0,8
8,Precentral_L,Frontal_Mid_Orb_R,0,9
9,Precentral_L,Frontal_Inf_Oper_L,0,10
10,Precentral_L,Frontal_Inf_Oper_R,0,11
11,Precentral_L,Frontal_Inf_Tri_L,0,12
12,Precentral_L,Frontal_Inf_Tri_R,0,13
13,Precentral_L,Frontal_Inf_Orb_L,0,14
14,Precentral_L,Frontal_Inf_Orb_R,0,15
15,Precentral_L,Rolandic_Oper_L,0,16
16,Precentral_L,Rolandic_Oper_R,0,17
17,Precentral_L,Supp_Motor_Area_L,0,18
18,Precentral_L,Supp_Motor_Area_R,0,19
19,Precentral_L,Olfactory_L,0,20
20,Precentral_L,Olfactory_R,0,21
21,Precentral_L,Frontal_Sup_Medial_L,0,22
22,Precentral_L,Frontal_Sup_Medial_R,0,23
23,Precentral_L,Frontal_Med_Orb_L,0,24
24,Precentral_L,Frontal_Med_Orb_R,0,25
25,Precentral_L,Rectus_L,0,26
26,Precentral_L,Rectus_R,0,27
27,Precentral_L,Insula_L,0,28
28,Precentral_L,Insula_R,0,29
29,Precentral_L,Cingulum_Ant_L,0,30
30,Precentral_L,Cingulum_Ant_R,0,31
31,Precentral_L,Cingulum_Mid_L,0,32
32,Precentral_L,Cingulum_Mid_R,0,33
33,Precentral_L,Cingulum_Post_L,0,34
34,Precentral_L,Cingulum_Post_R,0,35
35,Precentral_L,Hippocampus_L,0,36
36,Precentral_L,Hippocampus_R,0,37
37,Precentral_L,ParaHippocampal_L,0,38
38,Precentral_L,ParaHippocampal_R,0,39
39,Precentral_L,Amygdala_L,0,40
40,Precentral_L,Amygdala_R,0,41
41,Precentral_L,Calcarine_L,0,42
42,Precentral_L,Calcarine_R,0,43
43,Precentral_L,Cuneus_L,0,44
44,Precentral_L,Cuneus_R,0,45
45,Precentral_L,Lingual_L,0,46
46,Precentral_L,Lingual_R,0,47
47,Precentral_L,Occipital_Sup_L,0,48
48,Precentral_L,Occipital_Sup_R,0,49
49,Precentral_L,Occipital_Mid_L,0,50
50,Precentral_L,Occipital_Mid_R,0,51
51,Precentral_L,Occipital_Inf_L,0,52
52,Precentral_L,Occipital_Inf_R,0,53
53,Precentral_L,Fusiform_L,0,54
54,Precentral_L,Fusiform_R,0,55
55,Precentral_L,Postcentral_L,0,56
56,Precentral_L,Postcentral_R,0,57
57,Precentral_L,Parietal_Sup_L,0,58
58,Precentral_L,Parietal_Sup_R,0,59
59,Precentral_L,Parietal_Inf_L,0,60
60,Precentral_L,Parietal_Inf_R,0,61
61,Precentral_L,SupraMarginal_L,0,62
62,Precentral_L,SupraMarginal_R,0,63
63,Precentral_L,Angular_L,0,64
64,Precentral_L,Angular_R,0,65
65,Precentral_L,Precuneus_L,0,66
66,Precentral_L,Precuneus_R,0,67
67,Precentral_L,Paracentral_Lobule_L,0,68
68,Precentral_L,Paracentral_Lobule_R,0,69
69,Precentral_L,Caudate_L,0,70
70,Precentral_L,Caudate_R,0,71
71,Precentral_L,Putamen_L,0,72
72,Precentral_L,Putamen_R,0,73
73,Precentral_L,Pallidum_L,0,74
74,Precentral_L,Pallidum_R,0,75
75,Precentral_L,Thalamus_L,0,76
76,Precentral_L,Thalamus_R,0,77
77,Precentral_L,Heschl_L,0,78
78,Precentral_L,Heschl_R,0,79
79,Precentral_L,Temporal_Sup_L,0,80
80,Precentral_L,Temporal_Sup_R,0,81
81,Precentral_L,Temporal_Pole_Sup_L,0,82
82,Precentral_L,Temporal_Pole_Sup_R,0,83
83,Precentral_L,Temporal_Mid_L,0,84
84,Precentral_L,Temporal_Mid_R,0,85
85,Precentral_L,Temporal_Pole_Mid_L,0,86
86,Precentral_L,Temporal_Pole_Mid_R,0,87
87,Precentral_L,Temporal_Inf_L,0,88
88,Precentral_L,Temporal_Inf_R,0,89
89,Precentral_R,Frontal_Sup_L,1,2
90,Precentral_R,Frontal_Sup_R,1,3
91,Precentral_R,Frontal_Sup_Orb_L,1,4
92,Precentral_R,Frontal_Sup_Orb_R,1,5
93,Precentral_R,Frontal_Mid_L,1,6
94,Precentral_R,Frontal_Mid_R,1,7
95,Precentral_R,Frontal_Mid_Orb_L,1,8
96,Precentral_R,Frontal_Mid_Orb_R,1,9
97,Precentral_R,Frontal_Inf_Oper_L,1,10
98,Precentral_R,Frontal_Inf_Oper_R,1,11
99,Precentral_R,Frontal_Inf_Tri_L,1,12
100,Precentral_R,Frontal_Inf_Tri_R,1,13
101,Precentral_R,Frontal_Inf_Orb_L,1,14
102,Precentral_R,Frontal_Inf_Orb_R,1,15
103,Precentral_R,Rolandic_Oper_L,1,16
104,Precentral_R,Rolandic_Oper_R,1,17
105,Precentral_R,Supp_Motor_Area_L,1,18
106,Precentral_R,Supp_Motor_Area_R,1,19
107,Precentral_R,Olfactory_L,1,20
108,Precentral_R,Olfactory_R,1,21
109,Precentral_R,Frontal_Sup_Medial_L,1,22
110,Precentral_R,Frontal_Sup_Medial_R,1,23
111,Precentral_R,Frontal_Med_Orb_L,1,24
112,Precentral_R,Frontal_Med_Orb_R,1,25
113,Precentral_R,Rectus_L,1,26
114,Precentral_R,Rectus_R,1,27
115,Precentral_R,Insula_L,1,28
116,Precentral_R,Insula_R,1,29
117,Precentral_R,Cingulum_Ant_L,1,30
118,Precentral_R,Cingulum_Ant_R,1,31
119,Precentral_R,Cingulum_Mid_L,1,32
120,Precentral_R,Cingulum_Mid_R,1,33
121,Precentral_R,Cingulum_Post_L,1,34
122,Precentral_R,Cingulum_Post_R,1,35
123,Precentral_R,Hippocampus_L,1,36
124,Precentral_R,Hippocampus_R,1,37
125,Precentral_R,ParaHippocampal_L,1,38
126,Precentral_R,ParaHippocampal_R,1,39
127,Precentral_R,Amygdala_L,1,40
128,Precentral_R,Amygdala_R,1,41
129,Precentral_R,Calcarine_L,1,42
130,Precentral_R,Calcarine_R,1,43
131,Precentral_R,Cuneus_L,1,44
132,Precentral_R,Cuneus_R,1,45
133,Precentral_R,Lingual_L,1,46
134,Precentral_R,Lingual_R,1,47
135,Precentral_R,Occipital_Sup_L,1,48
136,Precentral_R,Occipital_Sup_R,1,49
137,Precentral_R,Occipital_Mid_L,1,50
138,Precentral_R,Occipital_Mid_R,1,51
139,Precentral_R,Occipital_Inf_L,1,52
140,Precentral_R,Occipital_Inf_R,1,53
141,Precentral_R,Fusiform_L,1,54
142,Precentral_R,Fusiform_R,1,55
143,Precentral_R,Postcentral_L,1,56
144,Precentral_R,Postcentral_R,1,57
145,Precentral_R,Parietal_Sup_L,1,58
