method,dim,eval,n_runs,auc,auc_sd_seeds,acc,bacc,sens,spec,ci_lo,ci_hi,fold_sd,rv
PCA,32,loso,1,0.7004954964874806,0.0,0.6488469601677149,0.6489220198639036,0.6505494505494506,0.6472945891783567,0.6647132919961006,0.7306720909755892,0.1373763132309468,
PCA,32,ord,1,0.7165848179876236,0.0,0.6635220125786163,0.662659384703473,0.643956043956044,0.6813627254509018,0.6821594154667519,0.7468505870258919,0.04807414116707531,0.6130822066171332
PCA,64,loso,1,0.720341782466031,0.0,0.6540880503144654,0.6549979079037196,0.6747252747252748,0.6352705410821643,0.6864137182575485,0.7501254513080156,0.11597579592567953,
PCA,64,ord,1,0.7281243806293906,0.0,0.6687631027253669,0.6683476843797485,0.6593406593406593,0.6773547094188377,0.6943463595784989,0.7579522536595045,0.03961158296103009,0.7089136718604313
PCA,128,loso,1,0.7318064700830232,0.0,0.6687631027253669,0.6693166552885992,0.6813186813186813,0.657314629258517,0.6983469488447294,0.7612711985912437,0.1144047166411982,
PCA,128,ord,1,0.7433548415512343,0.0,0.6729559748427673,0.6729370829571231,0.6725274725274726,0.6733466933867736,0.7122697511433842,0.7723822439607587,0.035541586707385206,0.8084916911095161
PCA,256,loso,1,0.7388535312383008,0.0,0.6740041928721174,0.6740359840560242,0.6747252747252748,0.6733466933867736,0.70555854234495,0.7688262782514548,0.09004474988169256,
PCA,256,ord,1,0.7511682706071484,0.0,0.6844863731656184,0.6845405095906099,0.6857142857142857,0.6833667334669339,0.7203226442730247,0.7800516542076154,0.02954134497340268,0.9042764050791481
PLS,8,loso,1,0.7127441696579973,0.0,0.6677148846960168,0.6690898280076636,0.6989010989010989,0.6392785571142284,0.6784117042269993,0.7442812996428347,0.09812239084763393,
PLS,8,ord,1,0.7266533066132265,0.0,0.6656184486373166,0.6659230549010109,0.6725274725274726,0.6593186372745491,0.6942049910280849,0.7568199298744037,0.012691561750515492,
PLS,16,loso,1,0.699367966702636,0.0,0.6477987421383647,0.648695192582968,0.6681318681318681,0.6292585170340681,0.6640037591527228,0.7312031602577507,0.09754654990704795,
PLS,16,ord,1,0.7070052192296681,0.0,0.6383647798742138,0.6386112885110882,0.643956043956044,0.6332665330661322,0.673680800320029,0.7391240755891918,0.02144601288956082,
PLS,32,loso,1,0.6859785505076087,0.0,0.6373165618448637,0.6371247990486467,0.6329670329670329,0.6412825651302605,0.6514432282442095,0.7190488072885631,0.1043578157765936,
PLS,32,ord,1,0.6948842740425907,0.0,0.6457023060796646,0.6456253165672003,0.643956043956044,0.6472945891783567,0.6610393742500691,0.7274123346444404,0.03242805120558064,
PLS,64,loso,1,0.6800986588561739,0.0,0.6352201257861635,0.6348300997599594,0.6263736263736264,0.6432865731462926,0.6456920306110251,0.7134437919622081,0.1083422969671592,
PLS,64,ord,1,0.6930256116628863,0.0,0.6457023060796646,0.6457222136580854,0.6461538461538462,0.6452905811623246,0.6594252663599902,0.7251192394360284,0.031932945973256036,
RAW,4005,loso,1,0.7431654517826862,0.0,0.6761006289308176,0.6766213746173666,0.6879120879120879,0.6653306613226453,0.7099654443257292,0.77308343148665,0.08639228647308603,
RAW,4005,ord,1,0.756484397366161,0.0,0.6907756813417191,0.6907463278204762,0.6901098901098901,0.6913827655310621,0.7250445440344189,0.7857235314766055,0.022947617490012874,
RP,32,loso,3,0.6267905774919803,0.01412796148932016,0.5877009084556254,0.5876617704273015,0.5868131868131868,0.5885103540414162,0.5913349051597584,0.6614407590315924,0.10419992489684549,
RP,32,ord,3,0.6241596746606767,0.024420555116139154,0.5866526904262753,0.58604608484368,0.572893772893773,0.5991983967935872,0.5884845254763361,0.6593932898990659,0.02687770423584591,
RP,64,loso,3,0.6587387228669793,0.013153178427453003,0.6083158630328441,0.6085306143422375,0.6131868131868132,0.603874415497662,0.6234915230627331,0.6928948078136686,0.08458292088431894,
RP,64,ord,3,0.6559962415673838,0.009203225977290837,0.6086652690426275,0.6081217379814574,0.5963369963369964,0.6199064796259185,0.6204927290209996,0.6902995076004608,0.03192832673058083,
RP,128,loso,3,0.6829028019408782,0.010856865489286717,0.6264849755415793,0.6268353556930711,0.6344322344322344,0.6192384769539078,0.648064561202455,0.7159844689595665,0.09341905756731989,
RP,128,ord,3,0.6868330066726861,0.006211348633894338,0.6313766596785465,0.6310914870033106,0.6249084249084249,0.6372745490981964,0.6516163012920171,0.7191648121509205,0.016710495093394815,
RP,256,loso,3,0.7092544062483942,0.0065383367170676315,0.6540880503144654,0.6547718146916544,0.6695970695970695,0.6399465597862392,0.6757262869421018,0.7412442459207614,0.08821211866684892,
RP,256,ord,3,0.7219905011488178,0.00660584216367936,0.6512928022361985,0.6509370389129908,0.6432234432234432,0.6586506346025384,0.6894048944422003,0.7524079113400363,0.023819233782642373,
