host=node10.cognition.gla.alces.network job=1870620 git=1ece8166421fe83c97c0500573216704be0a88fc date=2026-08-22T01:35:22+01:00
fold done C=0.01 auc=0.5208
fold done C=0.01 auc=0.7980
fold done C=0.01 auc=0.7274
fold done C=0.01 auc=0.6786
fold done C=0.001 auc=0.6741
fold done C=0.01 auc=0.5050
fold done C=0.01 auc=0.5927
fold done C=0.01 auc=0.6889
fold done C=0.01 auc=0.5477
fold done C=0.01 auc=0.6095
fold done C=0.01 auc=0.6818
fold done C=0.01 auc=0.7079
fold done C=0.01 auc=0.5496
fold done C=0.01 auc=0.5582
fold done C=0.01 auc=0.4846
fold done C=0.001 auc=0.7572
fold done C=0.01 auc=0.4923
fold done C=0.001 auc=0.6118
fold done C=0.01 auc=0.6772
donor_H1_BN_s0_loso: AUC=0.6118
