unit,fold,fold_protocol,arm,arch,E,mode,spec,seed,D_in,status,verdict,head,probe_honest,svm_tr_enc,svm_tr_full,fused_auc,alpha_selected,delta_vs_svm_tr_enc,delta_vs_svm_tr_full,movement_max,clip_rate,best_epoch,total_steps,n_params,repr_dim_used,n_tr_enc,n_tr_probe,n_te,policy_hash,wall_s,node
s17_A7_signed_fused_s0,lab0,lab,A7,EDGEMLP,signed,fused,edgetri,20260818,4005,OK,OVERFIT,0.713076923076923,0.7221978021978022,0.7318681318681318,0.749010989010989,0.7318681318681318,1.0,0.0,-0.017142857142857126,0.07206708937883377,0.09140625,18,1280,1033793,32,610,153,191,798ed7790c1ddabc,46.1,node02.cognition.gla.alces.network
s17_A7_signed_fused_s0,lab1,lab,A7,EDGEMLP,signed,fused,edgetri,20260818,4005,OK,OVERFIT,0.7753846153846154,0.7724175824175824,0.794065934065934,0.7860439560439563,0.794065934065934,1.0,0.0,0.008021978021977683,0.1640472710132599,0.08854166666666667,34,1344,1033793,32,610,153,191,798ed7790c1ddabc,37.8,node02.cognition.gla.alces.network
s17_A7_signed_fused_s0,lab2,lab,A7,EDGEMLP,signed,fused,edgetri,20260818,4005,OK,OVERFIT,0.7108791208791208,0.7037362637362639,0.7156043956043956,0.7224175824175824,0.7156043956043956,1.0,0.0,-0.006813186813186767,0.13062334060668945,0.0875,28,1280,1033793,32,610,153,191,798ed7790c1ddabc,44.1,node02.cognition.gla.alces.network
s17_A7_signed_fused_s0,loso0,loso,A7,EDGEMLP,signed,fused,edgetri,20260818,4005,OK,OVERFIT,0.546875,0.40104166666666663,0.546875,0.5885416666666667,0.53125,0.95,-0.015625,-0.05729166666666674,0.2709167003631592,0.07969924812030076,55,1995,1033793,32,740,186,28,798ed7790c1ddabc,55.8,node03.cognition.gla.alces.network
s17_A7_signed_fused_s0,loso1,loso,A7,EDGEMLP,signed,fused,edgetri,20260818,4005,OK,OVERFIT,0.7878787878787878,0.8080808080808082,0.8080808080808081,0.8181818181818181,0.8181818181818181,0.7,0.010101010101010055,0.0,0.1788242757320404,0.09164086687306501,35,1615,1033793,32,747,187,20,798ed7790c1ddabc,54.7,node03.cognition.gla.alces.network
s17_A7_signed_fused_s0,loso2,loso,A7,EDGEMLP,signed,fused,edgetri,20260818,4005,OK,OVERFIT,0.6541353383458647,0.5770676691729324,0.6541353383458647,0.6936090225563909,0.6522556390977443,0.9,-0.00187969924812037,-0.041353383458646586,0.1494991034269333,0.08600770218228498,32,1558,1033793,32,725,182,47,798ed7790c1ddabc,51.9,node03.cognition.gla.alces.network
s17_A7_signed_fused_s0,site0,site,A7,EDGEMLP,signed,fused,edgetri,20260818,4005,OK,OVERFIT,0.7730769230769231,0.7786813186813187,0.8221978021978023,0.8201098901098901,0.8221978021978023,1.0,0.0,0.002087912087912147,0.1403236985206604,0.08984375,30,1280,1033793,32,610,153,191,798ed7790c1ddabc,38.4,node08.cognition.gla.alces.network
s17_A7_signed_fused_s0,site1,site,A7,EDGEMLP,signed,fused,edgetri,20260818,4005,OK,OVERFIT,0.6929073342116819,0.6404259991216513,0.708498023715415,0.6982872200263504,0.708498023715415,1.0,0.0,0.010210803689064685,0.2134176641702652,0.09078947368421053,45,1520,1033793,32,610,153,191,798ed7790c1ddabc,46.1,node06.cognition.gla.alces.network
s17_A7_signed_fused_s0,site2,site,A7,EDGEMLP,signed,fused,edgetri,20260818,4005,OK,HEALTHY,0.6676548089591567,0.6520641194554239,0.7154150197628458,0.7221124286341678,0.7134387351778657,0.95,-0.0019762845849801147,-0.00867369345630209,0.08323167264461517,0.090625,20,1280,1033793,32,610,153,191,798ed7790c1ddabc,44.3,node02.cognition.gla.alces.network
s17_A7_signed_fused_s1,lab0,lab,A7,EDGEMLP,signed,fused,edgetri,20260819,4005,OK,OVERFIT,0.6747252747252748,0.7142857142857144,0.7318681318681318,0.749010989010989,0.7318681318681318,1.0,0.0,-0.017142857142857126,0.07887465506792068,0.078125,19,1280,1033793,32,610,153,191,798ed7790c1ddabc,40.9,node03.cognition.gla.alces.network
s17_A7_signed_fused_s1,lab1,lab,A7,EDGEMLP,signed,fused,edgetri,20260819,4005,OK,OVERFIT,0.7652747252747252,0.7656043956043955,0.794065934065934,0.7860439560439563,0.794065934065934,1.0,0.0,0.008021978021977683,0.16708813607692719,0.08970588235294118,35,1360,1033793,32,610,153,191,798ed7790c1ddabc,37.7,node05.cognition.gla.alces.network
s17_A7_signed_fused_s1,lab2,lab,A7,EDGEMLP,signed,fused,edgetri,20260819,4005,OK,OVERFIT,0.6906593406593405,0.6918681318681318,0.7156043956043956,0.7224175824175824,0.7156043956043956,1.0,0.0,-0.006813186813186767,0.1008865013718605,0.08203125,23,1280,1033793,32,610,153,191,798ed7790c1ddabc,41.5,node06.cognition.gla.alces.network
s17_A7_signed_fused_s1,loso0,loso,A7,EDGEMLP,signed,fused,edgetri,20260819,4005,OK,OVERFIT,0.5260416666666666,0.4739583333333333,0.546875,0.5885416666666667,0.546875,1.0,0.0,-0.04166666666666674,0.29523637890815735,0.08742931709438886,71,2299,1033793,32,740,186,28,798ed7790c1ddabc,54.7,node03.cognition.gla.alces.network
s17_A7_signed_fused_s1,loso1,loso,A7,EDGEMLP,signed,fused,edgetri,20260819,4005,OK,OVERFIT,0.7272727272727273,0.7272727272727272,0.8080808080808081,0.8181818181818181,0.7777777777777777,0.8,-0.030303030303030387,-0.04040404040404044,0.12501974403858185,0.09868421052631579,26,1520,1033793,32,747,187,20,798ed7790c1ddabc,54.5,node05.cognition.gla.alces.network
s17_A7_signed_fused_s1,loso2,loso,A7,EDGEMLP,signed,fused,edgetri,20260819,4005,OK,OVERFIT,0.5394736842105263,0.6597744360902256,0.6541353383458647,0.6936090225563909,0.6541353383458647,0.95,0.0,-0.039473684210526216,0.09108080714941025,0.09342105263157895,21,1520,1033793,32,725,182,47,798ed7790c1ddabc,47.9,node01.cognition.gla.alces.network
s17_A7_signed_fused_s1,site0,site,A7,EDGEMLP,signed,fused,edgetri,20260819,4005,OK,OVERFIT,0.7764835164835165,0.737032967032967,0.8221978021978023,0.8201098901098901,0.8221978021978023,1.0,0.0,0.002087912087912147,0.07836993038654327,0.08828125,19,1280,1033793,32,610,153,191,798ed7790c1ddabc,35.5,node03.cognition.gla.alces.network
s17_A7_signed_fused_s1,site1,site,A7,EDGEMLP,signed,fused,edgetri,20260819,4005,OK,OVERFIT,0.7121212121212122,0.6537110232762406,0.708498023715415,0.6982872200263504,0.708498023715415,1.0,0.0,0.010210803689064685,0.13494248688220978,0.090625,30,1280,1033793,32,610,153,191,798ed7790c1ddabc,41.5,node08.cognition.gla.alces.network
s17_A7_signed_fused_s1,site2,site,A7,EDGEMLP,signed,fused,edgetri,20260819,4005,OK,OVERFIT,0.6745718050065876,0.6858805445761967,0.7154150197628458,0.7221124286341678,0.7166227492314449,0.9,0.0012077294685990392,-0.005489679402722936,0.07722581177949905,0.08671875,19,1280,1033793,32,610,153,191,798ed7790c1ddabc,43.9,node05.cognition.gla.alces.network
s17_A7_signed_fused_s2,lab0,lab,A7,EDGEMLP,signed,fused,edgetri,20260820,4005,OK,OVERFIT,0.7085714285714286,0.7136263736263737,0.7318681318681318,0.749010989010989,0.7318681318681318,1.0,0.0,-0.017142857142857126,0.10401258617639542,0.09375,24,1280,1033793,32,610,153,191,798ed7790c1ddabc,42.9,node01.cognition.gla.alces.network
s17_A7_signed_fused_s2,lab1,lab,A7,EDGEMLP,signed,fused,edgetri,20260820,4005,OK,OVERFIT,0.761978021978022,0.6901098901098901,0.794065934065934,0.7860439560439563,0.7951648351648352,0.8,0.001098901098901206,0.009120879120878889,0.04576735571026802,0.08515625,13,1280,1033793,32,610,153,191,798ed7790c1ddabc,35.8,node02.cognition.gla.alces.network
s17_A7_signed_fused_s2,lab2,lab,A7,EDGEMLP,signed,fused,edgetri,20260820,4005,OK,OVERFIT,0.6853846153846155,0.6971428571428571,0.7156043956043956,0.7224175824175824,0.7115384615384616,0.65,-0.004065934065934029,-0.010879120879120796,0.14710915088653564,0.09567901234567901,31,1296,1033793,32,610,153,191,798ed7790c1ddabc,40.0,node05.cognition.gla.alces.network
