unit,fold,fold_protocol,arm,arch,spec,seed,repr_dim,movement_max,clip_rate,best_epoch,svm_tr_enc,native_auc,native_width,native_evr,pca32_auc,pca32_width,pca32_evr,pca64_auc,pca64_width,pca64_evr
s17b_A7_signed_fused_s0,lab0,lab,A7,EDGEMLP,edgetri,20260818,32,0.07206708937883377,0.09140625,18,0.7318681318681318,0.7221978021978022,32,,,,,,,
s17b_A7_signed_fused_s0,lab1,lab,A7,EDGEMLP,edgetri,20260818,32,0.1640472710132599,0.08854166666666667,34,0.794065934065934,0.7724175824175824,32,,,,,,,
s17b_A7_signed_fused_s0,lab2,lab,A7,EDGEMLP,edgetri,20260818,32,0.13062334060668945,0.0875,28,0.7156043956043956,0.7037362637362639,32,,,,,,,
s17b_A7_signed_fused_s0,loso0,loso,A7,EDGEMLP,edgetri,20260818,32,0.2709167003631592,0.07969924812030076,55,0.546875,0.40104166666666663,32,,,,,,,
s17b_A7_signed_fused_s0,loso1,loso,A7,EDGEMLP,edgetri,20260818,32,0.1788242757320404,0.09164086687306501,35,0.8080808080808081,0.8080808080808082,32,,,,,,,
s17b_A7_signed_fused_s0,loso2,loso,A7,EDGEMLP,edgetri,20260818,32,0.1494991034269333,0.08600770218228498,32,0.6541353383458647,0.5770676691729324,32,,,,,,,
s17b_A7_signed_fused_s0,site0,site,A7,EDGEMLP,edgetri,20260818,32,0.1403236985206604,0.08984375,30,0.8221978021978023,0.7786813186813187,32,,,,,,,
s17b_A7_signed_fused_s0,site1,site,A7,EDGEMLP,edgetri,20260818,32,0.2134176641702652,0.09078947368421053,45,0.708498023715415,0.6404259991216513,32,,,,,,,
s17b_A7_signed_fused_s0,site2,site,A7,EDGEMLP,edgetri,20260818,32,0.08323167264461517,0.090625,20,0.7154150197628458,0.6520641194554239,32,,,,,,,
s17b_A7_signed_fused_s1,lab0,lab,A7,EDGEMLP,edgetri,20260819,32,0.07887465506792068,0.078125,19,0.7318681318681318,0.7142857142857144,32,,,,,,,
s17b_A7_signed_fused_s1,lab1,lab,A7,EDGEMLP,edgetri,20260819,32,0.16708813607692719,0.08970588235294118,35,0.794065934065934,0.7656043956043955,32,,,,,,,
s17b_A7_signed_fused_s1,lab2,lab,A7,EDGEMLP,edgetri,20260819,32,0.1008865013718605,0.08203125,23,0.7156043956043956,0.6918681318681318,32,,,,,,,
s17b_A7_signed_fused_s1,loso0,loso,A7,EDGEMLP,edgetri,20260819,32,0.29523637890815735,0.08742931709438886,71,0.546875,0.4739583333333333,32,,,,,,,
s17b_A7_signed_fused_s1,loso1,loso,A7,EDGEMLP,edgetri,20260819,32,0.12501974403858185,0.09868421052631579,26,0.8080808080808081,0.7272727272727272,32,,,,,,,
s17b_A7_signed_fused_s1,loso2,loso,A7,EDGEMLP,edgetri,20260819,32,0.09108080714941025,0.09342105263157895,21,0.6541353383458647,0.6597744360902256,32,,,,,,,
