position,m1_roi,m2_roi,old_roi,fc_roi,aal_code,aal_name,aal_index,overlap_purity,match
0,YCG:1|Precentral_L,YCG:1|Precentral_L,AALcode:2001,AALcode:2001,2001,Precentral_L,1,0.904,yes
1,YCG:2|Precentral_R,YCG:2|Precentral_R,AALcode:2002,AALcode:2002,2002,Precentral_R,2,0.859,yes
2,YCG:3|Frontal_Sup_L,YCG:3|Frontal_Sup_L,AALcode:2101,AALcode:2101,2101,Frontal_Sup_L,3,0.917,yes
3,YCG:4|Frontal_Sup_R,YCG:4|Frontal_Sup_R,AALcode:2102,AALcode:2102,2102,Frontal_Sup_R,4,0.908,yes
4,YCG:5|Frontal_Sup_Orb_L,YCG:5|Frontal_Sup_Orb_L,AALcode:2111,AALcode:2111,2111,Frontal_Sup_Orb_L,5,0.725,yes
5,YCG:6|Frontal_Sup_Orb_R,YCG:6|Frontal_Sup_Orb_R,AALcode:2112,AALcode:2112,2112,Frontal_Sup_Orb_R,6,0.845,yes
6,YCG:7|Frontal_Mid_L,YCG:7|Frontal_Mid_L,AALcode:2201,AALcode:2201,2201,Frontal_Mid_L,7,0.939,yes
7,YCG:8|Frontal_Mid_R,YCG:8|Frontal_Mid_R,AALcode:2202,AALcode:2202,2202,Frontal_Mid_R,8,0.913,yes
8,YCG:9|Frontal_Mid_Orb_L,YCG:9|Frontal_Mid_Orb_L,AALcode:2211,AALcode:2211,2211,Frontal_Mid_Orb_L,9,0.813,yes
9,YCG:10|Frontal_Mid_Orb_R,YCG:10|Frontal_Mid_Orb_R,AALcode:2212,AALcode:2212,2212,Frontal_Mid_Orb_R,10,0.864,yes
10,YCG:11|Frontal_Inf_Oper_L,YCG:11|Frontal_Inf_Oper_L,AALcode:2301,AALcode:2301,2301,Frontal_Inf_Oper_L,11,0.752,yes
11,YCG:12|Frontal_Inf_Oper_R,YCG:12|Frontal_Inf_Oper_R,AALcode:2302,AALcode:2302,2302,Frontal_Inf_Oper_R,12,0.705,yes
12,YCG:13|Frontal_Inf_Tri_L,YCG:13|Frontal_Inf_Tri_L,AALcode:2311,AALcode:2311,2311,Frontal_Inf_Tri_L,13,0.966,yes
13,YCG:14|Frontal_Inf_Tri_R,YCG:14|Frontal_Inf_Tri_R,AALcode:2312,AALcode:2312,2312,Frontal_Inf_Tri_R,14,0.909,yes
14,YCG:15|Frontal_Inf_Orb_L,YCG:15|Frontal_Inf_Orb_L,AALcode:2321,AALcode:2321,2321,Frontal_Inf_Orb_L,15,0.902,yes
15,YCG:16|Frontal_Inf_Orb_R,YCG:16|Frontal_Inf_Orb_R,AALcode:2322,AALcode:2322,2322,Frontal_Inf_Orb_R,16,0.899,yes
16,YCG:17|Rolandic_Oper_L,YCG:17|Rolandic_Oper_L,AALcode:2331,AALcode:2331,2331,Rolandic_Oper_L,17,0.742,yes
17,YCG:18|Rolandic_Oper_R,YCG:18|Rolandic_Oper_R,AALcode:2332,AALcode:2332,2332,Rolandic_Oper_R,18,0.805,yes
18,YCG:19|Supp_Motor_Area_L,YCG:19|Supp_Motor_Area_L,AALcode:2401,AALcode:2401,2401,Supp_Motor_Area_L,19,0.928,yes
19,YCG:20|Supp_Motor_Area_R,YCG:20|Supp_Motor_Area_R,AALcode:2402,AALcode:2402,2402,Supp_Motor_Area_R,20,0.937,yes
