file_id,T,tr,min_valid_vox,OLD_max_abs,OLD_max_rel,OLD_mean_abs,M1_max_abs,M1_max_rel,M1_mean_abs,M2_max_abs,M2_max_rel,M2_mean_abs
CMU_a_0050642,236,2.0,62,1.7763568394002505e-15,4.610620168181248e-16,3.1744154630022993e-16,2.664535259100376e-15,4.973208620379703e-16,2.746774001665202e-16,5.3290705182007506e-15,4.145635167549572e-16,6.250144434926807e-16
Caltech_0051476,146,2.0,62,1.7763568394002505e-15,5.366157275169797e-16,2.683038976177461e-16,2.664535259100376e-15,3.750408493471672e-16,2.664535259100376e-16,7.105427357601002e-15,4.333502885217785e-16,6.809367884367627e-16
KKI_0050788,152,2.5,62,3.552713678800501e-15,4.3752709751014846e-16,3.634952421365328e-16,3.552713678800501e-15,4.892660510103064e-16,3.388236193670848e-16,7.105427357601002e-15,4.13376276940222e-16,7.763337298119613e-16
Leuven_1_0050683,246,1.666159987449646,15,3.552713678800501e-15,5.739265917155192e-16,3.1903492193742343e-16,2.664535259100376e-15,4.011049238721405e-16,3.5856091758264317e-16,5.3290705182007506e-15,3.8866542274269567e-16,5.888293967641571e-16
Leuven_2_0050728,246,1.650760054588318,47,1.7763568394002505e-15,4.548596982902753e-16,3.067505097668025e-16,5.3290705182007506e-15,5.976383526557436e-16,2.64808751058741e-16,5.3290705182007506e-15,4.2710642350705136e-16,6.31593542897867e-16
MaxMun_a_0051362,116,3.0,29,1.7763568394002505e-15,4.315815173893904e-16,1.4844093032951167e-16,1.7763568394002505e-15,3.9355340380594526e-16,1.8668194562215599e-16,7.105427357601002e-15,4.555817504124746e-16,5.921189464667501e-16
MaxMun_d_0051329,196,3.0,62,3.552713678800501e-15,5.208647607571971e-16,2.64808751058741e-16,1.7763568394002505e-15,4.3188956844644433e-16,3.355340696644917e-16,5.3290705182007506e-15,4.071000127656978e-16,7.894919286223335e-16
NYU_0050974,176,2.0,62,3.552713678800501e-15,4.2069720486093997e-16,2.7673336873064086e-16,1.7763568394002505e-15,3.377255233732826e-16,2.7303262531522373e-16,7.105427357601002e-15,4.2533212310329234e-16,9.93444010183103e-16
NYU_0051010,176,2.0,62,3.552713678800501e-15,4.200465518206581e-16,4.243519116345043e-16,3.552713678800501e-15,4.1954902161302167e-16,4.1941758708061473e-16,1.4210854715202004e-14,7.812386780193839e-16,1.3618735768735254e-15
NYU_0051047,176,2.0,62,3.552713678800501e-15,4.891421339229672e-16,3.297773576849539e-16,3.552713678800501e-15,5.224927921317637e-16,3.552713678800501e-16,7.105427357601002e-15,4.486846413129142e-16,9.802858113727307e-16
NYU_0051079,176,2.0,62,3.552713678800501e-15,4.089130763658808e-16,3.5362659302875356e-16,3.552713678800501e-15,4.07988067377082e-16,4.144832625267251e-16,7.105427357601002e-15,5.063467957857652e-16,1.0131813083986617e-15
NYU_0051113,176,2.0,62,1.7763568394002505e-15,4.69643764730696e-16,2.98937829223144e-16,1.7763568394002505e-15,4.3176314376477045e-16,3.2237587085411955e-16,7.105427357601002e-15,4.4256324174430793e-16,1.0329186066142197e-15
Olin_0050109,206,1.5,62,3.552713678800501e-15,4.196912969034398e-16,4.3586533559358004e-16,5.3290705182007506e-15,4.867744406749689e-16,5.986980458719362e-16,8.881784197001252e-15,5.713691330488785e-16,1.210554290554245e-15
Pitt_0050008,196,1.5,62,3.552713678800501e-15,4.416622991280419e-16,3.7254150381866365e-16,3.552713678800501e-15,4.303724016566907e-16,3.3224451996189873e-16,7.105427357601002e-15,5.017133957784418e-16,7.237009345704725e-16
Pitt_0050043,196,1.5,62,1.7763568394002505e-15,4.793153156566826e-16,2.475386151201275e-16,3.552713678800501e-15,4.316751368430978e-16,2.722102378895754e-16,5.3290705182007506e-15,5.565323927171217e-16,5.986980458719362e-16
SBL_0051571,196,2.200000047683716,62,1.7763568394002505e-15,4.436079616218706e-16,2.9359231095643033e-16,3.552713678800501e-15,4.0692445405008254e-16,2.886579864025407e-16,7.105427357601002e-15,5.677616119230745e-16,6.480412914108321e-16
SDSU_0050202,176,2.0,47,3.552713678800501e-15,4.3718009273216755e-16,4.1941758708061473e-16,3.552713678800501e-15,4.252993890028568e-16,4.753399320246967e-16,7.105427357601002e-15,4.138667985484117e-16,1.0822618521531156e-15
Stanford_0051179,176,2.0,62,3.552713678800501e-15,4.359730891104862e-16,3.182639337258782e-16,3.552713678800501e-15,4.162779887540249e-16,2.7549978759216847e-16,7.105427357601002e-15,4.1694403008184406e-16,6.447517417082391e-16
Trinity_0050246,146,2.0,61,3.552713678800501e-15,4.220490958820831e-16,3.067505097668025e-16,3.552713678800501e-15,4.2434643288138455e-16,4.153056499523734e-16,7.105427357601002e-15,4.3146955992284814e-16,7.960710280275196e-16
Trinity_0051141,146,2.0,62,3.552713678800501e-15,4.043385413031801e-16,4.901429056863654e-16,3.552713678800501e-15,4.0671365224287216e-16,5.213936278609994e-16,7.105427357601002e-15,4.5871153098771315e-16,7.56596431596403e-16
UCLA_1_0051236,116,3.0,62,3.552713678800501e-15,5.519543476743579e-16,3.2566542055671256e-16,3.552713678800501e-15,4.2353404054892764e-16,4.021474511420012e-16,5.3290705182007506e-15,3.6469841022311593e-16,7.56596431596403e-16
UCLA_1_0051279,116,3.0,62,1.7763568394002505e-15,4.269601098485322e-16,1.8750433304780424e-16,1.7763568394002505e-15,4.1643205927960016e-16,2.1957744264808648e-16,3.552713678800501e-15,3.969325949991553e-16,4.8356380628117935e-16
UM_1_0050277,296,2.0,62,3.552713678800501e-15,4.951428106237386e-16,4.1119371282413205e-16,3.552713678800501e-15,4.0443532703825996e-16,4.1777281222931823e-16,7.105427357601002e-15,4.2121527430927584e-16,9.605485131571725e-16
