file_id,tr,T_1d,T_nii,nfft,df,fs,nyq,bins_slow5,bins_slow4,bins_classical,min_valid_vox,max_valid_vox,OLD_max_abs,OLD_mean_abs,OLD_max_rel,OLD_mean_rel,M1_max_abs,M1_mean_abs,M1_max_rel,M1_mean_rel,M2_max_abs,M2_mean_abs,M2_max_rel,M2_mean_rel,bins_excl,excl_vs_incl_max_abs
Pitt_0050058,1.5,196,196,256,0.0026041666666666665,0.6666666666666666,0.3333333333333333,7,18,27,62,1493,1.7763568394002505e-15,2.3561399744822767e-16,5.120433692352582e-16,8.110838298207045e-17,2.6645352591003757e-15,2.639863636330928e-16,4.684602998277603e-16,6.449825028633396e-17,3.552713678800501e-15,6.118562446823085e-16,3.7425454135160685e-16,5.787812187771098e-17,"[7, 18, 27]",0.0
CMU_b_0050652,1.5,316,316,512,0.0013020833333333333,0.6666666666666666,0.3333333333333333,13,36,54,11,1444,1.7763568394002505e-15,2.450714528431827e-16,4.0699130751813423e-16,7.169119345981363e-17,2.6645352591003757e-15,2.7632217501781674e-16,4.2962863185278695e-16,6.845435199043672e-17,5.329070518200751e-15,6.250144434926807e-16,4.0288027936156175e-16,6.25766863650996e-17,"[13, 36, 54]",0.0
Leuven_2_0050722,1.6519099473953247,246,246,256,0.002364687013453271,0.6053598754440374,0.3026799377220187,7,19,29,62,1503,2.6645352591003757e-15,2.800229184332339e-16,4.180738525904445e-16,8.511183464547764e-17,1.7763568394002505e-15,2.9194753610513377e-16,4.1430110580399954e-16,6.84254251553143e-17,5.329070518200751e-15,6.102114698310119e-16,5.609746035737861e-16,6.58932640202542e-17,"[7, 19, 29]",0.0
Leuven_2_0050755,1.6512600183486938,246,246,256,0.002365617744385502,0.6055981425626885,0.30279907128134426,7,19,29,62,1505,1.7763568394002505e-15,2.9729305437184745e-16,5.411905186433266e-16,7.14833358869352e-17,3.552713678800501e-15,3.6349524213653274e-16,3.9196213610675486e-16,7.127963414567536e-17,3.552713678800501e-15,6.579099405186112e-16,4.38762242378049e-16,6.76418894992707e-17,"[7, 19, 29]",0.0
Leuven_1_0050708,1.664520025253296,246,246,256,0.002346772607560292,0.6007737875354348,0.3003868937677174,7,20,30,19,1489,1.7763568394002505e-15,2.1226590444193243e-16,4.672637346776896e-16,7.308321156516723e-17,1.7763568394002505e-15,2.5864084536637905e-16,4.289148256973536e-16,6.687598634251768e-17,3.552713678800501e-15,5.23038402712296e-16,5.07175509507586e-16,6.708589204667071e-17,"[7, 20, 30]",0.0
Leuven_1_0050682,1.6666500568389893,246,246,256,0.002343773357802953,0.600005979597556,0.300002989798778,7,20,30,15,1485,3.552713678800501e-15,3.2371225042079796e-16,3.533073761950449e-16,5.872087311058744e-17,3.552713678800501e-15,4.778070943016415e-16,4.232646447912929e-16,6.556962577599233e-17,5.329070518200751e-15,6.694233644776869e-16,3.6828438833143853e-16,5.5412947531434415e-17,"[7, 20, 30]",0.0
Leuven_2_0050757,1.6664899587631226,246,246,256,0.002343998521838823,0.6000636215907387,0.30003181079536934,7,20,30,42,1502,2.6645352591003757e-15,2.619303950689721e-16,4.652915669097435e-16,7.098702483731297e-17,2.6645352591003757e-15,3.3800123194143653e-16,4.947276405704933e-16,7.464821047177464e-17,3.552713678800501e-15,6.102114698310119e-16,4.618098215105102e-16,7.157967031496023e-17,"[7, 20, 30]",0.0
Caltech_0051473,2.0,146,146,256,0.001953125,0.5,0.25,8,24,35,6,1450,1.7763568394002505e-15,2.38495565888878e-16,4.706053345726896e-16,7.641787937912721e-17,2.6645352591003757e-15,2.9605947323337506e-16,4.445015289142092e-16,6.547711957628195e-17,3.552713678800501e-15,6.167905692361981e-16,4.3398533395667715e-16,5.577443157783182e-17,"[8, 24, 35]",0.0
UM_1_0050297,2.0,296,296,512,0.0009765625,0.5,0.25,17,47,71,62,1495,3.552713678800501e-15,4.704056074708071e-16,4.42291658968366e-16,7.149938092820614e-17,3.552713678800501e-15,3.8323254035209106e-16,3.75715695406244e-16,5.418268993765924e-17,1.0658141036401503e-14,1.0329186066142197e-15,4.356434703980527e-16,5.471542204576759e-17,"[17, 47, 71]",0.0
SBL_0051556,2.200000047683716,196,196,256,0.0017755681433337788,0.4545454446934474,0.2272727223467237,10,26,40,62,1434,3.552713678800501e-15,5.320846643944269e-16,4.2748272110061494e-16,6.705254868475808e-17,7.105427357601002e-15,7.056084112062106e-16,4.77174541214299e-16,6.733350222288975e-17,1.0658141036401503e-14,1.1250259982868252e-15,4.758126683487721e-16,6.15280434752383e-17,"[10, 26, 40]",0.0
