id,site,r_m1_old,r_m2_old,r_m1_m2
CMU_a_0050642,CMU,0.6954572463003874,0.5268631648891644,0.8462851305425342
CMU_a_0050646,CMU,0.671123910224617,0.5761217431174285,0.7748261366959512
CMU_a_0050647,CMU,0.7942312223101702,0.5049548023873458,0.622503682607223
CMU_a_0050649,CMU,0.801071367566677,0.6534524050539552,0.8011927462230867
CMU_a_0050654,CMU,0.7726953096358233,0.6709564052694338,0.8770521795233341
CMU_a_0050656,CMU,0.8368697023338989,0.7371874534678184,0.9105284410141147
CMU_a_0050659,CMU,0.6703278056023322,0.43709887002367936,0.7670833056000219
CMU_a_0050660,CMU,0.7856411192545426,0.7288024009366405,0.9186816528591122
CMU_a_0050663,CMU,0.6649514324944564,0.5099811809348321,0.7853447189503988
CMU_a_0050664,CMU,0.6387162504968643,0.5197863205767487,0.7988305891532475
CMU_a_0050665,CMU,0.7000048022124657,0.6262972360257084,0.8779280931131838
CMU_a_0050666,CMU,0.63071064885912,0.4870446455912,0.7499398709265841
CMU_a_0050668,CMU,0.7197342953103267,0.629242317377836,0.8814783245760979
CMU_b_0050644,CMU,0.5195531540320858,0.38284213549734397,0.68897416267216
CMU_b_0050645,CMU,0.8692853902994708,0.7812662293748824,0.9240365054363399
CMU_b_0050652,CMU,0.6789356462528042,0.3891432502481461,0.6439717424834388
CMU_b_0050655,CMU,0.7121340040433093,0.5239496183795816,0.7823707467709636
CMU_b_0050658,CMU,0.6033491617853124,0.4757258792543329,0.7377953337782779
CMU_b_0050661,CMU,0.8014239478187178,0.6837393062132741,0.8749084858405664
CMU_b_0050667,CMU,0.6863495404997672,0.5285936382421226,0.8227260735761612
Caltech_0051456,CALTECH,0.783525408361614,0.7124606530355378,0.7903568436877759
Caltech_0051458,CALTECH,0.6541727830228109,0.5414005233385951,0.7627221182646583
Caltech_0051459,CALTECH,0.7490478559576204,0.7035505640523054,0.8708155393553949
Caltech_0051461,CALTECH,0.8712134600745315,0.815937248378012,0.9357333253797949
Caltech_0051462,CALTECH,0.4157488022620053,0.2871524858009335,0.8600870466901225
Caltech_0051463,CALTECH,0.6619016396752823,0.6002874356366332,0.7981906164842396
Caltech_0051465,CALTECH,0.7684952566087758,0.734591785215822,0.8840716707298023
Caltech_0051468,CALTECH,0.724608553619491,0.6433460046101624,0.8585273407502441
Caltech_0051470,CALTECH,0.5617828957416535,0.5252827549445986,0.9123832952072612
Caltech_0051472,CALTECH,0.6914073305347238,0.6466447314180213,0.8935097222379534
Caltech_0051473,CALTECH,0.60555711148187,0.5573736354777673,0.7292982381357536
Caltech_0051474,CALTECH,0.7618622436335286,0.6616651038810369,0.8027765417047514
Caltech_0051476,CALTECH,0.7226036861284355,0.7159470798811048,0.9068355556620413
Caltech_0051477,CALTECH,0.8769853377768124,0.8527892279177783,0.9544488838176755
Caltech_0051479,CALTECH,0.7719450183235028,0.7192162846968672,0.8758911676132938
Caltech_0051480,CALTECH,0.6828178294547381,0.6165716262745643,0.7292422126869409
Caltech_0051481,CALTECH,0.7715049564876042,0.7073015155405966,0.8343489374431576
