source,transform,share_subj,share_band,share_roi,r_subjlevel,r_bandlevel
M1,A raw,0.3303049945179225,0.04319015671661026,0.1956942718896938,0.9999999999999999,1.0
M1,B subj-joint mm,0.09979664358550329,0.058025423889268686,0.29682111718657456,0.05872345262310513,0.9999988719389022
M1,C subj-band mm,0.06806448909768607,0.0007894071621888575,0.3513357590287984,0.06615346829841888,-0.9882399344029369
M1,D subj-band z,2.2289667848792014e-31,4.426621043212443e-34,0.3901736824931651,0.0,0.0
M1,E fold-band mm,0.35600803694869343,0.0008800895757159073,0.21129023626172205,0.9996854332896139,-0.18921523261535
M1,F fold-band z,0.35818002318920683,2.26146695107137e-06,0.21266527549045833,0.9993972918756567,0.9999361616219659
M2,A raw,0.5877906952456419,0.010223684146168718,0.10162555163543965,0.9999999999999999,1.0
M2,B subj-joint mm,0.18867392540300976,0.018917264370151787,0.25640992324860995,-0.09048977065754932,0.9999700468562815
M2,C subj-band mm,0.155722284335691,0.0007020694332094419,0.28091180771239666,-0.10113131240907668,-0.9582688455691385
M2,D subj-band z,9.14439237740035e-31,2.4567710440904e-33,0.3492735686959504,0.0,0.0
M2,E fold-band mm,0.5768196706985146,0.038489918677077795,0.09876694040477166,0.9998762230836242,-0.9905522408403564
M2,F fold-band z,0.599672399308035,8.344029078664354e-07,0.1029690577712768,0.9999384403397854,0.9975548486102092
OLD,A raw,0.25535568101434447,0.029835990311497734,0.3534303498910193,1.0,1.0
OLD,B subj-joint mm,0.08310527451175966,0.03517866575653847,0.47731837195685173,0.03218940736380066,0.9999964441612429
OLD,C subj-band mm,0.05893724142284744,0.002190980699397098,0.5310603807156193,0.041566830528621666,-0.964795064056549
OLD,D subj-band z,1.3633031412348372e-31,1.7692899476194657e-34,0.5788245687171123,0.0,0.0
OLD,E fold-band mm,0.26354823841998554,0.026727307278477847,0.3649876782791485,0.9991576013342529,-0.9632771647672735
OLD,F fold-band z,0.27110575173499835,1.5403978591433833e-06,0.37548735049850734,0.9995188482914892,0.9999448876717466
