source      band  n_fdr_sig  max_absg  mean_absg  max_auc_dev  mean_auc_dev  mean_mi    min_q
    M1 classical         21  0.301947   0.118331     0.078797      0.030456 0.007155 0.002312
    M1     slow4         22  0.270515   0.125216     0.072151      0.032019 0.008326 0.004846
    M1     slow5          6  0.328379   0.091792     0.081083      0.024866 0.008115 0.001337
    M2 classical         53  0.348193   0.181982     0.082365      0.044737 0.010833 0.000793
    M2     slow4         54  0.341307   0.178667     0.081299      0.044688 0.009546 0.001269
    M2     slow5         41  0.355208   0.181431     0.083444      0.041881 0.009721 0.000486
   OLD classical         31  0.276351   0.129771     0.079105      0.033569 0.007054 0.002149
   OLD     slow4         30  0.272122   0.135950     0.080303      0.035271 0.008125 0.001570
   OLD     slow5         12  0.251473   0.099195     0.071530      0.027917 0.007681 0.005228
LEVEL1 COMPLETE
