source,band,norm,clf,pooled_auc,pooled_bacc,pooled_acc,pooled_sens,pooled_spec,pooled_f1,pooled_prec,pooled_tn,pooled_fp,pooled_fn,pooled_tp,auc_mean,auc_sd,bacc_mean,bacc_sd,acc_mean,sens_mean,spec_mean,f1_mean,prec_mean,per_fold_auc,best_C,secs,grouped_pooled_auc,grouped_auc_mean,grouped_auc_sd,grouped_bacc,loso_pooled_auc,loso_auc_mean,loso_auc_sd,loso_bacc,loso_per_site_auc,drop_grouped,drop_loso
M1,slow5,A_RAW,linsvm,0.6465634565834966,0.5973705653064371,0.59958071278826,0.5494505494505495,0.6452905811623246,0.5668934240362812,0.585480093676815,322,177,205,250,0.6473601953601954,0.0298611536963456,0.5973414363414363,0.0276054720894976,0.5995646183521632,0.5494505494505495,0.6452323232323233,0.5667935776437989,0.5892935178728006,"[0.607802, 0.657802, 0.666593, 0.679451, 0.625153]","[0.001, 0.001, 0.001, 0.001, 0.001]",1.7,0.6156092404589398,0.6216814191320148,0.0486601671663741,0.5848620317558193,0.6213217644079367,0.6264782572409713,0.1241049758211813,0.5920698539937017,"{""CALTECH"": 0.4271, ""CMU"": 0.8081, ""KKI"": 0.7932, ""LEUVEN_1"": 0.699, ""LEUVEN_2"": 0.7593, ""MAX_MUN"": 0.5635, ""NYU"": 0.6091, ""OLIN"": 0.6333, ""PITT"": 0.6883, ""SBL"": 0.5952, ""SDSU"": 0.6591, ""STANFORD"": 0.7474, ""TRINITY"": 0.5913, ""UCLA_1"": 0.5676, ""UCLA_2"": 0.4308, ""UM_1"": 0.7371, ""UM_2"": 0.3846, ""USM"": 0.52, ""YALE"": 0.6892}",0.030954216124556733,0.025241692175559827
M1,classical,A_RAW,linsvm,0.6541214296725318,0.621515558589707,0.6247379454926625,0.5516483516483517,0.6913827655310621,0.5837209302325581,0.6197530864197531,345,154,204,251,0.6560792540792542,0.0196999845689144,0.6215211455211455,0.0188165121653196,0.6247506200055112,0.5516483516483517,0.6913939393939394,0.5835185798876814,0.6234754064911001,"[0.624286, 0.675934, 0.668132, 0.657033, 0.655012]","[0.01, 0.001, 0.001, 0.001, 0.001]",0.6,0.6391596379572332,0.6417005269186455,0.0452930120510889,0.5907463278204761,0.63977625580832,0.6402410429513508,0.1108186659244543,0.600636437710586,"{""CALTECH"": 0.474, ""CMU"": 0.8182, ""KKI"": 0.7632, ""LEUVEN_1"": 0.5051, ""LEUVEN_2"": 0.7741, ""MAX_MUN"": 0.5167, ""NYU"": 0.6368, ""OLIN"": 0.6407, ""PITT"": 0.7175, ""SBL"": 0.5524, ""SDSU"": 0.7091, ""STANFORD"": 0.7447, ""TRINITY"": 0.5119, ""UCLA_1"": 0.6198, ""UCLA_2"": 0.5769, ""UM_1"": 0.7224, ""UM_2"": 0.4769, ""USM"": 0.6582, ""YALE"": 0.746}",0.014961791715298656,0.014345173864211858
M2,slow5,A_RAW,linsvm,0.6363099826025679,0.6022198242639125,0.6058700209643606,0.5230769230769231,0.6813627254509018,0.5586854460093896,0.5994962216624685,340,159,217,238,0.6366799866799866,0.0239996793801551,0.6021950271950273,0.0091628385468423,0.605869385505649,0.5230769230769232,0.6813131313131313,0.5581358434846807,0.6008752209533841,"[0.634286, 0.668132, 0.649011, 0.628242, 0.60373]","[0.001, 0.001, 0.001, 0.001, 0.001]",0.7,0.6167631967231165,0.623392398738899,0.0303852613664972,0.5805963575502653,0.6235768239776256,0.6289298339561865,0.0913690576304498,0.5838930608469687,"{""CALTECH"": 0.651, ""CMU"": 0.7576, ""KKI"": 0.8045, ""LEUVEN_1"": 0.551, ""LEUVEN_2"": 0.637, ""MAX_MUN"": 0.5803, ""NYU"": 0.6512, ""OLIN"": 0.5259, ""PITT"": 0.6976, ""SBL"": 0.6381, ""SDSU"": 0.5545, ""STANFORD"": 0.7842, ""TRINITY"": 0.5933, ""UCLA_1"": 0.5937, ""UCLA_2"": 0.4385, ""UM_1"": 0.6268, ""UM_2"": 0.6077, ""USM"": 0.5609, ""YALE"": 0.6958}",0.019546785879451356,0.012733158624942287
M2,classical,A_RAW,linsvm,0.6136360633354622,0.5778502059063182,0.5828092243186582,0.4703296703296703,0.685370741482966,0.5181598062953995,0.5768194070080862,342,157,241,214,0.612098124098124,0.0288406667996955,0.5777809967809968,0.0390008928303034,0.582744557729402,0.4703296703296703,0.6852323232323233,0.5183512474607318,0.5784553111634809,"[0.608462, 0.631978, 0.615165, 0.639341, 0.565546]","[0.001, 0.001, 0.001, 0.001, 0.001]",0.7,0.5920236076548702,0.6011530916995425,0.0435027300456727,0.5731308771388932,0.5941597480675637,0.6029295876986793,0.0911708345343524,0.5700279680239599,"{""CALTECH"": 0.6354, ""CMU"": 0.7374, ""KKI"": 0.7857, ""LEUVEN_1"": 0.4235, ""LEUVEN_2"": 0.6556, ""MAX_MUN"": 0.5067, ""NYU"": 0.6402, ""OLIN"": 0.4926, ""PITT"": 0.6167, ""SBL"": 0.6286, ""SDSU"": 0.5545, ""STANFORD"": 0.7105, ""TRINITY"": 0.5278, ""UCLA_1"": 0.5666, ""UCLA_2"": 0.5, ""UM_1"": 0.634, ""UM_2"": 0.6038, ""USM"": 0.5655, ""YALE"": 0.6706}",0.021612455680592002,0.019476315267898503
OLD,slow5,A_RAW,linsvm,0.6334339007685701,0.60008588605783,0.6027253668763103,0.5428571428571428,0.657314629258517,0.565864833906071,0.5909090909090909,328,171,208,247,0.6327989787989787,0.0439891375238914,0.600054834054834,0.0424205589716416,0.6026839349683109,0.5428571428571429,0.6572525252525253,0.5652489625557993,0.5926533832334695,"[0.572637, 0.662967, 0.622308, 0.686813, 0.61927]","[0.001, 0.001, 0.001, 0.001, 0.001]",0.6,0.6268448985883855,0.6260536635666483,0.0190800762446935,0.6079389548327424,0.6216476909863684,0.618698284073447,0.1061799134932306,0.6060648770067607,"{""CALTECH"": 0.4635, ""CMU"": 0.7677, ""KKI"": 0.7124, ""LEUVEN_1"": 0.7092, ""LEUVEN_2"": 0.7444, ""MAX_MUN"": 0.6104, ""NYU"": 0.6289, ""OLIN"": 0.5778, ""PITT"": 0.6618, ""SBL"": 0.5524, ""SDSU"": 0.5318, ""STANFORD"": 0.8237, ""TRINITY"": 0.5317, ""UCLA_1"": 0.6403, ""UCLA_2"": 0.4077, ""UM_1"": 0.6797, ""UM_2"": 0.5308, ""USM"": 0.5727, ""YALE"": 0.6085}",0.006589002180184544,0.011786209782201684
OLD,classical,A_RAW,linsvm,0.6227796251844347,0.6081019181219582,0.6111111111111112,0.5428571428571428,0.6733466933867736,0.5710982658959538,0.6024390243902439,336,163,208,247,0.6249810189810191,0.0381270295926459,0.60811544011544,0.0289153617187315,0.6110939652796914,0.5428571428571429,0.6733737373737374,0.5704470619930238,0.605939522941962,"[0.573407, 0.665934, 0.631319, 0.653846, 0.6004]","[0.1, 0.001, 0.001, 0.001, 0.001]",0.6,0.6200709110528749,0.6171684194220608,0.0170436839536177,0.5909401220022463,0.6125173423770618,0.6125153963668596,0.1077629470710866,0.5850249950450351,"{""CALTECH"": 0.5156, ""CMU"": 0.7677, ""KKI"": 0.7105, ""LEUVEN_1"": 0.5255, ""LEUVEN_2"": 0.7444, ""MAX_MUN"": 0.5719, ""NYU"": 0.6047, ""OLIN"": 0.5593, ""PITT"": 0.6021, ""SBL"": 0.4429, ""SDSU"": 0.5591, ""STANFORD"": 0.8184, ""TRINITY"": 0.4464, ""UCLA_1"": 0.6393, ""UCLA_2"": 0.4692, ""UM_1"": 0.6595, ""UM_2"": 0.7, ""USM"": 0.6318, ""YALE"": 0.6693}",0.0027087141315598195,0.010262282807372958
M1,slow5,A_RAW,logreg,0.6459820740381862,0.6001519522561607,0.6048218029350105,0.4989010989010989,0.7014028056112225,0.54632972322503,0.6037234042553191,350,149,228,227,0.6526850926850927,0.027367134690437,0.6001778221778221,0.0323801430154799,0.6048332874069992,0.4989010989010989,0.7014545454545453,0.5449926818184336,0.6103739086665823,"[0.613736, 0.657253, 0.651429, 0.690769, 0.650239]","[0.01, 0.001, 0.001, 0.001, 0.001]",2.2,0.6211984408377194,0.635246253528359,0.0484946789565956,0.5969521460503424,0.6314254883393161,0.6451374234807954,0.1092282157536057,0.590552533638706,"{""CALTECH"": 0.4583, ""CMU"": 0.8182, ""KKI"": 0.8402, ""LEUVEN_1"": 0.6582, ""LEUVEN_2"": 0.7259, ""MAX_MUN"": 0.6237, ""NYU"": 0.634, ""OLIN"": 0.6074, ""PITT"": 0.7016, ""SBL"": 0.5905, ""SDSU"": 0.7182, ""STANFORD"": 0.7421, ""TRINITY"": 0.5873, ""UCLA_1"": 0.6021, ""UCLA_2"": 0.5154, ""UM_1"": 0.7384, ""UM_2"": 0.4385, ""USM"": 0.5645, ""YALE"": 0.6931}",0.024783633200466837,0.014556585698870084
M1,classical,A_RAW,logreg,0.6459380299059658,0.6110440661542866,0.6153039832285115,0.5186813186813187,0.7034068136272545,0.5625744934445769,0.6145833333333334,351,148,219,236,0.6493739593739594,0.0188825681404398,0.611037629037629,0.0154175625629849,0.6153155139156793,0.5186813186813186,0.7033939393939393,0.5590290119464381,0.6238709459763394,"[0.623626, 0.675604, 0.642308, 0.651319, 0.654013]","[0.1, 0.01, 0.001, 0.01, 0.01]",1.0,0.6273778325882535,0.6441855131491051,0.0493378906347941,0.5832169834173841,0.6249730229690149,0.635687263671133,0.1043424803711904,0.5889691470853795,"{""CALTECH"": 0.474, ""CMU"": 0.7879, ""KKI"": 0.765, ""LEUVEN_1"": 0.5102, ""LEUVEN_2"": 0.7519, ""MAX_MUN"": 0.5217, ""NYU"": 0.6343, ""OLIN"": 0.6222, ""PITT"": 0.691, ""SBL"": 0.5667, ""SDSU"": 0.7136, ""STANFORD"": 0.7395, ""TRINITY"": 0.5079, ""UCLA_1"": 0.617, ""UCLA_2"": 0.5846, ""UM_1"": 0.7157, ""UM_2"": 0.4769, ""USM"": 0.6545, ""YALE"": 0.7434}",0.0185601973177123,0.020965006936950914
M2,slow5,A_RAW,logreg,0.6378779537096171,0.606908322138783,0.6132075471698113,0.4703296703296703,0.7434869739478958,0.5370138017565872,0.6257309941520468,371,128,241,214,0.6411404151404152,0.0217222579023598,0.6069022089022089,0.0171698156451154,0.613193717277487,0.4703296703296703,0.7434747474747476,0.5361513261820543,0.6268621131903765,"[0.633956, 0.666703, 0.65989, 0.630989, 0.614164]","[0.001, 0.001, 0.001, 0.01, 0.001]",2.1,0.6077165319650291,0.6248772101252824,0.0454500772535188,0.5763945473364311,0.6083860027747803,0.6299796602972804,0.1003645997724387,0.5724195644035324,"{""CALTECH"": 0.6146, ""CMU"": 0.697, ""KKI"": 0.8553, ""LEUVEN_1"": 0.5153, ""LEUVEN_2"": 0.6074, ""MAX_MUN"": 0.5301, ""NYU"": 0.6347, ""OLIN"": 0.4926, ""PITT"": 0.7626, ""SBL"": 0.6333, ""SDSU"": 0.6409, ""STANFORD"": 0.7842, ""TRINITY"": 0.6091, ""UCLA_1"": 0.616, ""UCLA_2"": 0.4385, ""UM_1"": 0.652, ""UM_2"": 0.65, ""USM"": 0.5773, ""YALE"": 0.6587}",0.030161421744588024,0.029491950934836808
M2,classical,A_RAW,logreg,0.6236737210685106,0.598634631901165,0.6058700209643606,0.4417582417582417,0.7555110220440882,0.5167095115681234,0.6222910216718266,377,122,254,201,0.623062049062049,0.0249485951296372,0.5986265956265957,0.0397132651728179,0.6058252962248554,0.4417582417582418,0.7554949494949496,0.5144270295061283,0.6208983170752286,"[0.608791, 0.641758, 0.643077, 0.635714, 0.58597]","[0.001, 0.001, 0.001, 0.01, 0.001]",2.1,0.5815278909467285,0.6125415430186136,0.0651601001602191,0.5763306833447114,0.5854037745821313,0.6014773017232841,0.1128656479362036,0.5702547953048955,"{""CALTECH"": 0.5885, ""CMU"": 0.7071, ""KKI"": 0.8289, ""LEUVEN_1"": 0.3265, ""LEUVEN_2"": 0.6481, ""MAX_MUN"": 0.4482, ""NYU"": 0.6571, ""OLIN"": 0.4556, ""PITT"": 0.691, ""SBL"": 0.6286, ""SDSU"": 0.5591, ""STANFORD"": 0.7158, ""TRINITY"": 0.5893, ""UCLA_1"": 0.6011, ""UCLA_2"": 0.5, ""UM_1"": 0.6495, ""UM_2"": 0.6, ""USM"": 0.5736, ""YALE"": 0.6601}",0.04214583012178208,0.03826994648637927
