source,band,norm,site_bacc,site_acc,site_bacc_chance,sex_bacc,r2_TR,r2_T,r2_age,r2_func_mean_fd,r2_func_dvars,r2_func_perc_fd
M1,slow5,A_RAW,0.4227877598887475,0.5073375262054507,0.0526315789473684,0.5140367661006325,0.2562339738138149,0.3314331493653741,0.2526949056491816,0.4224355300182499,0.130501995378825,0.3225136767202041
M1,classical,C_SUBJ_BAND_MINMAX,0.6433959081205856,0.7243186582809225,0.0526315789473684,0.5330837175162677,0.4331820788755711,0.4718589553531621,0.3147240671420522,0.2580842784033996,0.222119083271523,0.2138204016356795
M2,slow5,F_TRAINFOLD_BAND_Z,0.711777459673784,0.7704402515723271,0.0526315789473684,0.512366704328965,0.384028917404402,0.4161276802908454,0.3264090836417128,0.5047170459063448,0.2379030182641303,0.4005659402955588
M2,all3,B_SUBJ_JOINT_MINMAX,0.7433396473939224,0.8050314465408805,0.0526315789473684,0.5462998853636611,0.5191477024004648,0.6368335966507226,0.4560136022123514,0.3725919924204216,0.3167499841255129,0.3295969154410338
OLD,slow4,D_SUBJ_BAND_Z,0.613452658406059,0.6750524109014675,0.0526315789473684,0.5208572159039364,0.4287225394533067,0.4891060844247082,0.3260609714845001,0.3181008372993619,0.2186399726155975,0.2608928006063022
M1,slow5,B_SUBJ_JOINT_MINMAX,0.5118668980982621,0.5953878406708596,0.0526315789473684,0.5103296413284619,0.3077636682205947,0.3775841420886168,0.2562316025210022,0.2059760655244098,0.2063016932079447,0.1616567087073863
M1,classical,D_SUBJ_BAND_Z,0.566745740885585,0.6509433962264151,0.0526315789473684,0.5560357269510857,0.4399152703424538,0.4778756252795488,0.3193056031051525,0.2589587359800113,0.2373879465982973,0.2211859173510634
M2,slow4,A_RAW,0.6669394747019936,0.7211740041928721,0.0526315789473684,0.5500070101358316,0.4588053579618036,0.4773992917367842,0.3338106658327955,0.5089346557356244,0.2627394004704457,0.4135824583161357
M2,all3,C_SUBJ_BAND_MINMAX,0.7627868875551101,0.8144654088050315,0.0526315789473684,0.5280735322012652,0.5107614338369643,0.598390451535346,0.4480192944267671,0.3703183758855277,0.307231236742689,0.3265599185342739
OLD,slow4,F_TRAINFOLD_BAND_Z,0.6291029323196967,0.6844863731656184,0.0526315789473684,0.521875747404188,0.3588744808903399,0.4400988661461034,0.3039960433845244,0.4639298604896634,0.1295939712156401,0.3651254568538993
M1,slow5,C_SUBJ_BAND_MINMAX,0.5144479790709744,0.5985324947589099,0.0526315789473684,0.5097069763222353,0.3040069006590156,0.3665497254715908,0.256882615300701,0.2028549642808716,0.2076869221209518,0.1584296804448095
M1,classical,F_TRAINFOLD_BAND_Z,0.5850405033426165,0.6614255765199162,0.0526315789473684,0.5361681772822116,0.4144838166312368,0.4459868398771476,0.2984057583420675,0.4658662973215207,0.1740892898268692,0.361179888304868
M2,slow4,B_SUBJ_JOINT_MINMAX,0.7570652017158755,0.8228511530398323,0.0526315789473684,0.51757482289098,0.5116005699575218,0.5690848311727363,0.4181809485357086,0.3403150911761242,0.2788917407032272,0.2994171507714352
M2,all3,D_SUBJ_BAND_Z,0.7092666622383957,0.7620545073375262,0.0526315789473684,0.5554955341311143,0.5183133538552855,0.6122753894191297,0.4481147343634549,0.3828111340541462,0.301756094518289,0.3375800328713598
