featset,clf,n_feat,mode,pooled_auc,auc_mean,auc_sd,bacc,acc,sens,spec,f1,prec,per_fold_auc,best_C,secs
FC_only,linsvm,4005,cv,0.756484397366161,0.7552150072150072,0.0229476174900128,0.6907463278204762,0.6907756813417191,0.6901098901098901,0.6913827655310621,0.6803900325027086,0.6709401709401709,"[0.74901, 0.78604, 0.72242, 0.75725, 0.76135]","[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]",60.4
FC_only,logreg,4005,cv,0.7561276398951751,0.7546193806193807,0.0237958762457629,0.692105089299478,0.6939203354297694,0.6527472527472528,0.7314629258517034,0.6704288939051919,0.6890951276102089,"[0.74835, 0.7856, 0.71978, 0.75912, 0.76024]","[0.001, 0.001, 0.001, 0.001, 0.001]",6.5
M1B_only,linsvm,270,cv,0.6286198771168711,0.6336099456099455,0.0212896486457525,0.5884494263251778,0.590146750524109,0.5516483516483517,0.625250501002004,0.5621500559910414,0.5730593607305936,"[0.61396, 0.66516, 0.61604, 0.64374, 0.62915]","[0.001, 0.0001, 0.0001, 0.001, 0.001]",7.2
M1B_only,logreg,270,cv,0.6278447003897906,0.633053613053613,0.0212084282201594,0.595723314761391,0.59958071278826,0.512087912087912,0.6793587174348698,0.5495283018867925,0.5928753180661578,"[0.61308, 0.66505, 0.61824, 0.64319, 0.62571]","[0.01, 0.001, 0.001, 0.01, 0.01]",6.8
M1C_only,linsvm,270,cv,0.6249730229690149,0.6339189699189699,0.0170955165496545,0.5964654583893061,0.5985324947589099,0.5516483516483517,0.6412825651302605,0.5672316384180791,0.5837209302325581,"[0.62066, 0.64989, 0.62538, 0.65484, 0.61883]","[0.001, 0.0001, 0.0001, 0.0001, 0.001]",6.0
M1C_only,logreg,270,cv,0.6322270915457289,0.6356308136308135,0.0163607598624125,0.6111409632451716,0.6153039832285115,0.5208791208791209,0.7014028056112225,0.5636147443519619,0.6139896373056994,"[0.62505, 0.6511, 0.62978, 0.65462, 0.6176]","[0.001, 0.001, 0.001, 0.001, 0.01]",4.6
M1D_only,linsvm,270,cv,0.6486026999053051,0.6476499056499057,0.0196558065454663,0.6020568609746966,0.6037735849056604,0.5648351648351648,0.6392785571142284,0.5762331838565022,0.5881006864988558,"[0.6367, 0.66802, 0.63692, 0.66945, 0.62715]","[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]",6.4
M1D_only,logreg,270,cv,0.6497258252769275,0.6481349761349762,0.0189734730826625,0.6112708934352221,0.6163522012578616,0.5010989010989011,0.7214428857715431,0.5547445255474452,0.6212534059945504,"[0.63582, 0.66835, 0.64022, 0.66835, 0.62793]","[0.001, 0.001, 0.001, 0.001, 0.001]",3.1
FC+M1B,linsvm,4275,cv,0.7521812856482195,0.7496152736152737,0.0237784980633534,0.6837653328635293,0.6844863731656184,0.6681318681318681,0.6993987975951904,0.6688668866886689,0.6696035242290749,"[0.74187, 0.78923, 0.72967, 0.73462, 0.75269]","[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]",76.2
FC+M1B,logreg,4275,cv,0.7523046092184369,0.7501227661227661,0.0239943091870947,0.6886145918210047,0.6907756813417191,0.6417582417582418,0.7354709418837675,0.664391353811149,0.6886792452830188,"[0.74308, 0.78978, 0.72945, 0.73462, 0.75369]","[0.001, 0.001, 0.001, 0.001, 0.001]",6.7
FC+M1C,linsvm,4275,cv,0.7526789843423111,0.7503054723054723,0.0202117492207731,0.6850580281442005,0.6855345911949685,0.6747252747252748,0.6953907815631263,0.6717724288840262,0.6688453159041394,"[0.7444, 0.7856, 0.73473, 0.74066, 0.74614]","[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]",53.9
FC+M1C,logreg,4275,cv,0.7530137197471867,0.751010323010323,0.0209967087374386,0.6930101962166091,0.6949685534591195,0.6505494505494506,0.7354709418837675,0.6704416761041903,0.6915887850467289,"[0.74593, 0.78747, 0.73429, 0.74044, 0.74692]","[0.001, 0.001, 0.001, 0.001, 0.001]",8.6
FC+M1D,linsvm,4275,cv,0.7566341474157106,0.7542737262737262,0.0208853283412833,0.6871589332511177,0.6876310272536688,0.676923076923077,0.6973947895791583,0.6739606126914661,0.6710239651416122,"[0.74264, 0.79, 0.7367, 0.74978, 0.75225]","[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]",45.7
FC+M1D,logreg,4275,cv,0.7566341474157104,0.7542912642912644,0.0218876130883802,0.6927195049439538,0.6949685534591195,0.643956043956044,0.7414829659318637,0.6681870011402509,0.6943127962085308,"[0.74264, 0.79209, 0.73648, 0.75022, 0.75003]","[0.001, 0.001, 0.001, 0.001, 0.001]",8.5
CTRL_FCfull,linsvm,8010,cv,0.7537492567552688,0.7528629148629149,0.0174516880929997,0.6919421260102623,0.6918238993710691,0.6945054945054945,0.6893787575150301,0.6825053995680346,0.6709129511677282,"[0.75319, 0.77549, 0.72703, 0.75846, 0.75014]","[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]",142.0
CTRL_FCfull,logreg,8010,cv,0.7533440507388404,0.752929514929515,0.0196730942438449,0.6964037966041974,0.6981132075471698,0.6593406593406593,0.7334669338677354,0.6756756756756757,0.6928406466512702,"[0.75297, 0.77868, 0.72385, 0.75868, 0.75047]","[0.001, 0.001, 0.001, 0.001, 0.001]",18.9
