featset,clf,n_feat_cv,mode_cv,pooled_auc_cv,auc_mean_cv,auc_sd_cv,bacc_cv,acc_cv,sens_cv,spec_cv,f1_cv,prec_cv,per_fold_auc_cv,best_C_cv,secs_cv,n_feat_loso,mode_loso,pooled_auc_loso,auc_mean_loso,auc_sd_loso,bacc_loso,acc_loso,sens_loso,spec_loso,f1_loso,prec_loso,per_fold_auc_loso,best_C_loso,secs_loso,drop
FC_only,linsvm,4005,cv,0.756484397366161,0.7552150072150072,0.0229476174900128,0.6907463278204762,0.6907756813417191,0.6901098901098901,0.6913827655310621,0.6803900325027086,0.6709401709401709,"[0.74901, 0.78604, 0.72242, 0.75725, 0.76135]","[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]",60.4,4005,loso,0.7431654517826862,0.7428145782436287,0.086392286473086,0.6766213746173666,0.6761006289308176,0.6879120879120879,0.6653306613226453,0.6695187165775401,0.6520833333333333,"[0.58854, 0.81818, 0.69361, 0.7551, 0.72963, 0.67391, 0.77245, 0.81111, 0.78382, 0.64286, 0.68636, 0.55526, 0.69246, 0.78844, 0.84615, 0.78029, 0.80385, 0.85545, 0.83598]","[0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001]",434.1,0.013318945583474795
FC_only,logreg,4005,cv,0.7561276398951751,0.7546193806193807,0.0237958762457629,0.692105089299478,0.6939203354297694,0.6527472527472528,0.7314629258517034,0.6704288939051919,0.6890951276102089,"[0.74835, 0.7856, 0.71978, 0.75912, 0.76024]","[0.001, 0.001, 0.001, 0.001, 0.001]",6.5,4005,loso,0.7405800612213438,0.7410631784158648,0.0904091409131547,0.6718712149573873,0.6729559748427673,0.6483516483516484,0.6953907815631263,0.6541019955654102,0.6599552572706935,"[0.5625, 0.81818, 0.69549, 0.75, 0.73333, 0.67224, 0.76904, 0.80741, 0.78647, 0.6381, 0.68182, 0.55263, 0.69048, 0.78938, 0.85385, 0.77987, 0.81154, 0.85455, 0.83333]","[0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",25.3,0.015547578673831275
M1B_only,linsvm,270,cv,0.6286198771168711,0.6336099456099455,0.0212896486457525,0.5884494263251778,0.590146750524109,0.5516483516483517,0.625250501002004,0.5621500559910414,0.5730593607305936,"[0.61396, 0.66516, 0.61604, 0.64374, 0.62915]","[0.001, 0.0001, 0.0001, 0.001, 0.001]",7.2,270,loso,0.6158779096654847,0.6318972457040741,0.0911231314786706,0.5801757360875597,0.5828092243186582,0.5230769230769231,0.6372745490981964,0.5446224256292906,0.568019093078759,"[0.52083, 0.78788, 0.71805, 0.65306, 0.71111, 0.54515, 0.58968, 0.64074, 0.70557, 0.62857, 0.66364, 0.68684, 0.49802, 0.58621, 0.53846, 0.71279, 0.44615, 0.64182, 0.73148]","[0.001, 0.0001, 0.0001, 0.001, 0.001, 0.001, 0.001, 0.0001, 0.001, 0.001, 0.001, 0.001, 0.0001, 0.001, 0.0001, 0.0001, 0.001, 0.001, 0.001]",18.8,0.012741967451386338
M1B_only,logreg,270,cv,0.6278447003897906,0.633053613053613,0.0212084282201594,0.595723314761391,0.59958071278826,0.512087912087912,0.6793587174348698,0.5495283018867925,0.5928753180661578,"[0.61308, 0.66505, 0.61824, 0.64319, 0.62571]","[0.01, 0.001, 0.001, 0.01, 0.01]",6.8,270,loso,0.6089101279482042,0.6347596224876981,0.0861266044976509,0.5800480081041204,0.5849056603773585,0.4747252747252747,0.685370741482966,0.5217391304347826,0.579088471849866,"[0.51562, 0.80808, 0.71429, 0.57143, 0.72593, 0.55184, 0.58408, 0.64444, 0.69496, 0.64762, 0.65909, 0.68421, 0.49802, 0.58248, 0.55385, 0.71153, 0.54231, 0.62727, 0.74339]","[0.01, 0.001, 0.001, 0.001, 0.001, 0.001, 0.01, 0.001, 0.001, 0.001, 0.01, 0.01, 0.001, 0.01, 0.001, 0.001, 0.001, 0.01, 0.001]",9.3,0.01893457244158636
M1C_only,linsvm,270,cv,0.6249730229690149,0.6339189699189699,0.0170955165496545,0.5964654583893061,0.5985324947589099,0.5516483516483517,0.6412825651302605,0.5672316384180791,0.5837209302325581,"[0.62066, 0.64989, 0.62538, 0.65484, 0.61883]","[0.001, 0.0001, 0.0001, 0.0001, 0.001]",6.0,270,loso,0.6153405712523948,0.6327667030106895,0.0769997794611464,0.5828910568389527,0.5859538784067087,0.5164835164835165,0.6492985971943888,0.5433526011560693,0.573170731707317,"[0.49479, 0.72727, 0.73684, 0.67347, 0.68148, 0.52508, 0.59186, 0.65556, 0.70159, 0.62857, 0.61364, 0.68421, 0.51786, 0.60205, 0.56923, 0.71614, 0.53846, 0.64091, 0.72354]","[0.001, 0.0001, 0.0001, 0.001, 0.001, 0.0001, 0.001, 0.0001, 0.0001, 0.0001, 0.001, 0.001, 0.0001, 0.001, 0.0001, 0.0001, 0.0001, 0.001, 0.0001]",16.2,0.009632451716620083
M1C_only,logreg,270,cv,0.6322270915457289,0.6356308136308135,0.0163607598624125,0.6111409632451716,0.6153039832285115,0.5208791208791209,0.7014028056112225,0.5636147443519619,0.6139896373056994,"[0.62505, 0.6511, 0.62978, 0.65462, 0.6176]","[0.001, 0.001, 0.001, 0.001, 0.01]",4.6,270,loso,0.611905128939197,0.6360309614215282,0.0834282863782874,0.5807593208394812,0.5859538784067087,0.4681318681318681,0.6933867735470942,0.5188794153471377,0.5819672131147541,"[0.49479, 0.76768, 0.73684, 0.58673, 0.72593, 0.52341, 0.58818, 0.65926, 0.70292, 0.61905, 0.65, 0.68158, 0.5119, 0.59739, 0.58462, 0.7195, 0.53846, 0.67545, 0.7209]","[0.01, 0.001, 0.001, 0.001, 0.001, 0.001, 0.01, 0.001, 0.001, 0.001, 0.001, 0.01, 0.001, 0.01, 0.001, 0.001, 0.001, 0.001, 0.001]",8.5,0.02032196260653185
M1D_only,linsvm,270,cv,0.6486026999053051,0.6476499056499057,0.0196558065454663,0.6020568609746966,0.6037735849056604,0.5648351648351648,0.6392785571142284,0.5762331838565022,0.5881006864988558,"[0.6367, 0.66802, 0.63692, 0.66945, 0.62715]","[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]",6.4,270,loso,0.6184897267061595,0.6475643192567617,0.0988353806276551,0.5916822656301615,0.5943396226415094,0.5340659340659341,0.6492985971943888,0.5567010309278351,0.5813397129186603,"[0.48958, 0.81818, 0.75564, 0.61735, 0.73333, 0.51338, 0.58327, 0.65556, 0.72679, 0.6381, 0.73182, 0.72368, 0.49405, 0.59459, 0.55385, 0.7195, 0.53846, 0.68909, 0.72751]","[0.001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001]",16.3,0.03011297319914552
M1D_only,logreg,270,cv,0.6497258252769275,0.6481349761349762,0.0189734730826625,0.6112708934352221,0.6163522012578616,0.5010989010989011,0.7214428857715431,0.5547445255474452,0.6212534059945504,"[0.63582, 0.66835, 0.64022, 0.66835, 0.62793]","[0.001, 0.001, 0.001, 0.001, 0.001]",3.1,270,loso,0.6186526899953754,0.6503745653952377,0.0959470833268905,0.5902618423660508,0.5953878406708596,0.4791208791208791,0.7014028056112225,0.5304136253041363,0.5940054495912807,"[0.52604, 0.82828, 0.75, 0.63776, 0.72963, 0.51171, 0.57767, 0.66296, 0.72414, 0.62857, 0.72273, 0.71842, 0.49008, 0.60019, 0.56923, 0.72453, 0.53462, 0.68909, 0.73148]","[0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.01, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",8.1,0.03107313528155209
FC+M1B,linsvm,4275,cv,0.7521812856482195,0.7496152736152737,0.0237784980633534,0.6837653328635293,0.6844863731656184,0.6681318681318681,0.6993987975951904,0.6688668866886689,0.6696035242290749,"[0.74187, 0.78923, 0.72967, 0.73462, 0.75269]","[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]",76.2,4275,loso,0.7391001783787357,0.7435335563837974,0.0747630026045776,0.6723226673126472,0.6719077568134172,0.6813186813186813,0.6633266533066132,0.6645230439442658,0.6485355648535565,"[0.58333, 0.79798, 0.72368, 0.7449, 0.77778, 0.66221, 0.76713, 0.78889, 0.76658, 0.63333, 0.71364, 0.60526, 0.71429, 0.78192, 0.80769, 0.78784, 0.8, 0.84, 0.83069]","[0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001]",238.4,0.01308110726948386
FC+M1B,logreg,4275,cv,0.7523046092184369,0.7501227661227661,0.0239943091870947,0.6886145918210047,0.6907756813417191,0.6417582417582418,0.7354709418837675,0.664391353811149,0.6886792452830188,"[0.74308, 0.78978, 0.72945, 0.73462, 0.75369]","[0.001, 0.001, 0.001, 0.001, 0.001]",6.7,4275,loso,0.736792265850382,0.7448955166198231,0.0787818708256588,0.6658591909092911,0.6666666666666666,0.6483516483516484,0.6833667334669339,0.6497797356828194,0.6512141280353201,"[0.57812, 0.80808, 0.7406, 0.7449, 0.78148, 0.65719, 0.76194, 0.78889, 0.77586, 0.62857, 0.71364, 0.59474, 0.71032, 0.78751, 0.80769, 0.78658, 0.80769, 0.84455, 0.83466]","[0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",27.4,0.015512343368054848
FC+M1C,linsvm,4275,cv,0.7526789843423111,0.7503054723054723,0.0202117492207731,0.6850580281442005,0.6855345911949685,0.6747252747252748,0.6953907815631263,0.6717724288840262,0.6688453159041394,"[0.7444, 0.7856, 0.73473, 0.74066, 0.74614]","[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]",53.9,4275,loso,0.7393776564117245,0.743938961082997,0.0754919411721559,0.6724195644035323,0.6719077568134172,0.6835164835164835,0.6613226452905812,0.66524064171123,0.6479166666666667,"[0.58854, 0.80808, 0.7312, 0.75, 0.77778, 0.65217, 0.76877, 0.8, 0.77056, 0.64286, 0.7, 0.59474, 0.72222, 0.78192, 0.80769, 0.78491, 0.78462, 0.83545, 0.83333]","[0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001]",277.1,0.013301327930586582
FC+M1C,logreg,4275,cv,0.7530137197471867,0.751010323010323,0.0209967087374386,0.6930101962166091,0.6949685534591195,0.6505494505494506,0.7354709418837675,0.6704416761041903,0.6915887850467289,"[0.74593, 0.78747, 0.73429, 0.74044, 0.74692]","[0.001, 0.001, 0.001, 0.001, 0.001]",8.6,4275,loso,0.737052126230483,0.746350629385174,0.0758808614325186,0.6606553766874408,0.6614255765199162,0.643956043956044,0.6773547094188377,0.6446644664466447,0.6453744493392071,"[0.59375, 0.80808, 0.73496, 0.7449, 0.77778, 0.65217, 0.7674, 0.8, 0.78382, 0.64286, 0.70909, 0.6, 0.71032, 0.78751, 0.82308, 0.78323, 0.78846, 0.83727, 0.83598]","[0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",30.6,0.015961593516703676
