file_id,T,tr,nfft,n_s5,n_s4,n_cl,n_overlap,n_tail,n_extra,bins_on_nominal_edges,max_abs_err,max_rel_err,mismatch_1em9,tail_frac_of_cl
CMU_a_0050642,236,2.0,256,8,24,35,0,3,0,0,1.1368683772161603e-13,8.114753499179076e-16,0,0.04918336829670264
CMU_a_0050646,236,2.0,256,8,24,35,0,3,0,0,1.1368683772161603e-13,7.199231755727787e-16,0,0.05889833124722237
CMU_a_0050647,202,2.0,256,8,24,35,0,3,0,0,1.1368683772161603e-13,5.934276834079182e-16,0,0.06281319520151632
CMU_a_0050649,236,2.0,256,8,24,35,0,3,0,0,8.526512829121202e-14,8.154056595420231e-16,0,0.04545721669671662
CMU_a_0050654,236,2.0,256,8,24,35,0,3,0,0,1.1368683772161603e-13,4.44187772578722e-16,0,0.05825718121927712
CMU_a_0050656,236,2.0,256,8,24,35,0,3,0,0,1.1368683772161603e-13,5.249224668064035e-16,0,0.05535943726303797
CMU_a_0050659,236,2.0,256,8,24,35,0,3,0,0,1.1368683772161603e-13,6.04987420608643e-16,0,0.0645275950300147
CMU_a_0050660,236,2.0,256,8,24,35,0,3,0,0,1.7053025658242404e-13,5.48339036325213e-16,0,0.05546797929793087
CMU_a_0050663,236,2.0,256,8,24,35,0,3,0,0,8.526512829121202e-14,6.684824372069481e-16,0,0.05492271101699693
CMU_a_0050664,236,2.0,256,8,24,35,0,3,0,0,5.684341886080802e-14,5.260790069224403e-16,0,0.06943177013521976
CMU_a_0050665,236,2.0,256,8,24,35,0,3,0,0,1.7053025658242404e-13,5.185893432746186e-16,0,0.06229004309760224
CMU_a_0050666,236,2.0,256,8,24,35,0,3,0,0,5.684341886080802e-14,5.593915699838732e-16,0,0.07330837242749436
CMU_a_0050668,236,2.0,256,8,24,35,0,3,0,0,2.2737367544323206e-13,7.079309260136652e-16,0,0.05958966457450886
CMU_b_0050644,316,1.5,512,13,36,54,0,5,0,0,1.1368683772161603e-13,7.833696965084939e-16,0,0.06574052250837398
CMU_b_0050645,316,1.5,512,13,36,54,0,5,0,0,1.7053025658242404e-13,6.337986387523246e-16,0,0.06107672670394888
CMU_b_0050652,316,1.5,512,13,36,54,0,5,0,0,1.4210854715202004e-13,7.910108756624395e-16,0,0.07693910415524807
CMU_b_0050655,316,1.5,512,13,36,54,0,5,0,0,2.2737367544323206e-13,6.03590313420619e-16,0,0.06945353089354231
CMU_b_0050658,316,1.5,512,13,36,54,0,5,0,0,1.7053025658242404e-13,6.841355767939097e-16,0,0.07675130843838399
CMU_b_0050661,316,1.5,512,13,36,54,0,5,0,0,1.7053025658242404e-13,6.491809913445809e-16,0,0.05864233720212617
CMU_b_0050667,316,1.5,512,13,36,54,0,5,0,0,1.7053025658242404e-13,7.574028415817238e-16,0,0.0658125438445989
Caltech_0051456,146,2.0,256,8,24,35,0,3,0,0,5.684341886080802e-14,6.150129290235729e-16,0,0.058962976604641074
Caltech_0051458,146,2.0,256,8,24,35,0,3,0,0,5.684341886080802e-14,5.539833507160871e-16,0,0.07080978570334892
Caltech_0051459,146,2.0,256,8,24,35,0,3,0,0,5.684341886080802e-14,4.0486637305728736e-16,0,0.06128200128596542
Caltech_0051461,146,2.0,256,8,24,35,0,3,0,0,1.7053025658242404e-13,5.507615376124728e-16,0,0.06569039019527843
Caltech_0051462,146,2.0,256,8,24,35,0,3,0,0,8.526512829121202e-14,6.898678327541418e-16,0,0.07816113375157198
Caltech_0051463,146,2.0,256,8,24,35,0,3,0,0,8.526512829121202e-14,5.456696585144333e-16,0,0.07412162746073966
Caltech_0051465,146,2.0,256,8,24,35,0,3,0,0,5.684341886080802e-14,3.848875809890793e-16,0,0.06167446649591754
Caltech_0051468,146,2.0,256,8,24,35,0,3,0,0,5.684341886080802e-14,5.530900095504339e-16,0,0.0693833973365824
Caltech_0051470,146,2.0,256,8,24,35,0,3,0,0,5.684341886080802e-14,6.152985955550352e-16,0,0.07567004294860616
Caltech_0051472,146,2.0,256,8,24,35,0,3,0,0,1.1368683772161603e-13,4.688287994352112e-16,0,0.07709562469006385
Caltech_0051473,146,2.0,256,8,24,35,0,3,0,0,5.684341886080802e-14,5.752586659608985e-16,0,0.06600716671413337
Caltech_0051474,146,2.0,256,8,24,35,0,3,0,0,1.1368683772161603e-13,5.966730343517894e-16,0,0.06813697928197371
Caltech_0051476,146,2.0,256,8,24,35,0,3,0,0,7.105427357601002e-14,8.479961088539669e-16,0,0.06447149767222295
Caltech_0051477,146,2.0,256,8,24,35,0,3,0,0,1.7053025658242404e-13,7.899880344928582e-16,0,0.05055150793509935
Caltech_0051479,146,2.0,256,8,24,35,0,3,0,0,8.526512829121202e-14,4.781703267825738e-16,0,0.07759007278851533
Caltech_0051480,146,2.0,256,8,24,35,0,3,0,0,7.105427357601002e-14,9.65705106363892e-16,0,0.07781852854800748
