auc,bacc,fold_auc_sd,n_folds,ci95,branch,repr,clf
0.6396573366513247,0.6056772886432205,0.04475739682414504,5,"[0.6008703316291107, 0.6731460223922664]",B,Q1,linsvm
0.6286198771168711,0.5884494263251778,0.021289648645752585,5,"[0.5927822375752659, 0.6639355984517863]",B,X,linsvm
0.6399260058578695,0.5990200180580942,0.04503757710464612,5,"[0.6016536448033072, 0.6735740521130205]",B,Q1,logreg
0.6278447003897906,0.595723314761391,0.021208428220159496,5,"[0.5920038037473296, 0.6632179353727149]",B,X,logreg
0.6393710497918914,0.6040608689907287,0.042808442634654685,5,"[0.6016118269631334, 0.6723713635808266]",C,Q1,linsvm
0.6249730229690149,0.5964654583893061,0.017095516549654525,5,"[0.5902876456276585, 0.6584119149377486]",C,X,linsvm
0.639952432337202,0.6014116144376666,0.04310987603698968,5,"[0.6021345117586162, 0.6731845589043755]",C,Q1,logreg
0.6322270915457289,0.6111409632451716,0.016360759862412543,5,"[0.5979550703441242, 0.6654625858852893]",C,X,logreg
0.5988416393226013,0.5642405690501884,0.0254166447017292,5,"[0.5625323219405969, 0.633441846365109]",D,Q1,linsvm
0.6486026999053051,0.6020568609746966,0.01965580654546631,5,"[0.6131435842959688, 0.6824386618199145]",D,X,linsvm
0.594005593604792,0.5790129709969389,0.02493152226339204,5,"[0.5586596022822181, 0.6281222179193272]",D,Q1,logreg
0.6497258252769275,0.6112708934352221,0.018973473082662583,5,"[0.6145409879414528, 0.6836331334172442]",D,X,logreg
