seed,path,branch,n,h_auc,h_bacc,h_fold_sd,h_loso_auc,h_loso_bacc,h_loso_fold_sd,z_auc,z_bacc,z_fold_sd,z_loso_auc,z_loso_bacc,z_loso_fold_sd
1,C,B,954,0.49654914224052504,0.4900019819859499,0.040742552120098155,0.4867669404743553,0.4825365015745777,0.09815948014753331,0.4908190006386399,0.4859939659538858,0.025916696614925214,0.48133189455834746,0.471935078949107,0.10713863100367794
2,P,C,954,0.47093747935431307,0.4729062520645687,0.0670685604304414,,,,0.4667180514875905,0.47225880332092757,0.05286110009292118,,,
4,O,D,954,0.5154132440705588,0.5042590675857209,0.03911510748144513,,,,0.5042832918584421,0.4979233191658041,0.007319210756289772,,,
6,O,B,954,0.47335109779999557,0.4777533088154331,0.024192178019752528,0.47139553832940606,0.4761368891629413,0.09469208515659917,0.4715364795525116,0.47788103679887245,0.02483871494532787,0.4678764121649893,0.48017793829417077,0.08633019308484735
8,C,C,954,0.4776542095179369,0.48175912264088616,0.050211291253186255,,,,0.4802792397982778,0.4759408927745601,0.06459861827329055,,,
9,P,D,954,0.4939285163734061,0.4908740558039155,0.027841872135885248,,,,0.5046180272633178,0.4971767711246669,0.048985996952361575,,,
11,P,B,954,0.5083089255433945,0.5194498887885661,0.04025869735474278,0.49944724614063285,0.5060692814199829,0.10496804878959157,0.5196458851769473,0.524523772820366,0.026274714979115828,0.508172388733511,0.5232310775396948,0.10799983077487746
13,O,C,954,0.44877006760774296,0.45522253297804405,0.04141703691340437,,,,0.45220550992094083,0.45564315444074965,0.05079504814478494,,,
15,C,D,954,0.49898037833909575,0.5033187253628135,0.04000702771555097,,,,0.5053183289656236,0.49572551696800193,0.03692492401395966,,,
17,C,B,954,0.5024818868506243,0.5027681737100574,0.011759454162113853,0.5341716399832633,0.5416503336343016,0.09999591182965714,0.49524984034002073,0.4894514303331938,0.04188495559897759,0.49106564777907463,0.49598097293488075,0.07910985347823149
18,P,C,954,0.5000154154462771,0.4953357263978506,0.06509437992526228,,,,0.4987557532647713,0.4955295205796208,0.04869639128397959,,,
20,O,D,954,0.49771190733114584,0.5016076108260477,0.03207063525623456,,,,0.5021647690986368,0.49391530313374,0.047429978573699925,,,
22,O,B,954,0.5199321720363804,0.5188310687308684,0.04460460996430075,0.5342024708758175,0.5321478121077319,0.09509776051750471,0.5128895152943249,0.5070360501222224,0.032568286133480846,0.5198617014248277,0.5122398643440728,0.09524544756375772
24,C,C,954,0.4910524345394086,0.47956132044308397,0.04917397020475765,,,,0.4854147856151864,0.48140676958312223,0.060426931132809406,,,
25,P,D,954,0.5237419894734523,0.5277213768195732,0.027256315770788356,,,,0.5028210266687221,0.5028672730075536,0.0576108727776809,,,
27,P,B,954,0.48056552665771113,0.4740051531634698,0.030178329614708246,0.4561034156224537,0.4737474949899799,0.11004963449031137,0.506269682221586,0.4941707591006188,0.04294993677317366,0.4919729569028166,0.48955052963068996,0.11239464798787269
29,O,C,954,0.4832346010702724,0.4878680437798674,0.04029453234083277,,,,0.45968860798520117,0.46747340835517187,0.042544279411710934,,,
33,P,B,954,0.5065119249487986,0.49996036028100155,0.04332937554896706,0.45793124710960376,0.4696095487678654,0.0866328364317686,0.5051641745028519,0.5054856966680614,0.03360487684011943,0.5131361624347597,0.5090092272457002,0.1054718125593079
39,C,B,954,0.48126582836001675,0.49973133079345505,0.027955055504476387,0.4987733709176595,0.5038362439164042,0.08762514256457292,0.5246272765310842,0.5139862141866149,0.033780781338523726,0.5187253628135392,0.524070118258495,0.0842448825657454
44,O,B,954,0.5056398511308331,0.48395692483868835,0.03380417453046176,0.48304080688850226,0.4787861437160034,0.07863798705927084,0.529243101587791,0.517441476359312,0.029292876817043543,0.5396551344447136,0.5272677222577022,0.08523315372218809
49,P,B,954,0.4837851527230285,0.4763945473364311,0.03146826316426221,0.5099341540223304,0.5027065119249488,0.08267238086194402,0.476566319452091,0.4857054768878416,0.018773072653683824,0.4818163800127727,0.4898103900107908,0.09809238396188542
