seed,path,branch,n,h_auc,h_bacc,h_fold_sd,z_auc,z_bacc,z_fold_sd,h_loso_auc,h_loso_bacc,h_loso_fold_sd,z_loso_auc,z_loso_bacc,z_loso_fold_sd
1,C,C,954,0.463855182893259,0.4743244731220683,0.04620306179722513,0.46032724790239815,0.46954128036292364,0.046936968455518015,,,,,,
2,P,D,954,0.5051113215441873,0.5004734744213702,0.029012759225280085,0.517342377061816,0.508456473386333,0.04227775832330853,,,,,,
4,P,B,954,0.48493470457398313,0.4736153625933185,0.04429961187049149,0.4673346693386774,0.47439274152701005,0.03849208483343135,0.4570151291594178,0.47090224404853664,0.12068254102267983,0.46088660838159834,0.47035169239578056,0.12269957721126934
6,O,C,954,0.4587724900350151,0.46934528397454245,0.03830172527002565,0.45010460481402365,0.4685062432557423,0.06001704053174963,,,,,,
8,C,D,954,0.5209231650113414,0.5021559602721928,0.023839886404121758,0.5076526679733093,0.4922019863903631,0.009287222132073891,,,,,,
10,C,B,954,0.47846462155079394,0.49759739258737257,0.0066357749320327085,0.4752802307912528,0.492459644563853,0.016063805251705508,0.48031007069083226,0.4913607434649519,0.09539721513985087,0.4723777224779229,0.468123059305424,0.10858018730868402
11,P,C,954,0.4981743707194609,0.4880310070690832,0.07774820402193251,0.5028738796273866,0.4906163976304257,0.06901748922161283,,,,,,
13,O,D,954,0.528793851439142,0.5223237684159527,0.027829396576030955,0.5035962033958026,0.4982118082318483,0.032014571085146985,,,,,,
15,O,B,954,0.522160805126737,0.5070668810147768,0.02039177053530582,0.5552423528375432,0.5519940980862825,0.026330875221212448,0.5214957387302077,0.5078750908410227,0.08823618109758158,0.5510537558633751,0.5369332070734877,0.09677636187583713
17,C,C,954,0.47976392345129826,0.47328943601488693,0.055855169414293714,0.4662555880992755,0.468667004338347,0.05632552763278106,,,,,,
18,P,D,954,0.545319209848268,0.5365764496025017,0.03538821576711135,0.4898720517958995,0.48954832742407894,0.04012808889363565,,,,,,
20,P,B,954,0.46889383161928255,0.471840384064833,0.04412243445290193,0.5145059349468166,0.5076504657666983,0.021957964515380252,0.4605122332577243,0.4710982404369178,0.1010040474691892,0.5327093747935431,0.5197383778546103,0.0876340407473681
22,O,C,954,0.4585302473078024,0.4706710123543791,0.05555765964645626,0.45447818714351773,0.4663392719504944,0.04730436650497523,,,,,,
24,C,D,954,0.5083177343698386,0.49611530753815325,0.03888596932271624,0.5192230615076306,0.5169283622189433,0.04446464700443159,,,,,,
26,C,B,954,0.5029619678918276,0.49701821224867315,0.04154028230881868,0.5165451782686252,0.5043559646766059,0.023827021497197662,0.4581470633574842,0.4647294589178357,0.11231620318845893,0.4870356096809003,0.48706423836684354,0.09446095543704086
27,P,C,954,0.4503116122354599,0.45467638573851,0.048821890261014626,0.4597678874231981,0.4636283556123235,0.04826617188819619,,,,,,
29,O,D,954,0.5034244312801427,0.5099143341628312,0.03106854461839199,0.49463322248893393,0.5005703715122553,0.026699294232669195,,,,,,
34,C,B,954,0.4958488405382193,0.4980202162566892,0.058954889155178075,0.4760862384108877,0.4875795547138233,0.024011246997691256,0.48044660750071577,0.48496333325992647,0.08595158161904307,0.4696293686273646,0.4885837609284503,0.11916002982205424
39,O,B,954,0.48126582836001675,0.49973133079345505,0.027955055504476387,0.5246272765310842,0.5139862141866149,0.033780781338523726,0.4987733709176595,0.5038362439164042,0.08762514256457292,0.5187253628135392,0.524070118258495,0.0842448825657454
44,P,B,954,0.4936906780594156,0.48667444779669233,0.04841865998211026,0.4875685436807681,0.5004448457354269,0.02987292252464978,0.47326300953555467,0.48082538703781186,0.10252725117557136,0.4917219053491598,0.49701821224867315,0.10099888745574663
