auc,bacc,fold_auc_sd,n_folds,ci95,branch,repr,clf
0.8,0.6333333333333333,0.28867513459481287,3,"[0.4, 1.0]",B,Q1,linsvm
0.4666666666666667,0.5333333333333333,0.5,3,"[0.0, 1.0]",B,X,linsvm
0.6,0.5,0.28867513459481287,3,"[0.13333333333333333, 1.0]",B,Q1,logreg
0.5333333333333333,0.5,0.5773502691896258,3,"[0.0, 1.0]",B,X,logreg
1.0,1.0,0.0,3,"[1.0, 1.0]",C,Q1,linsvm
0.5333333333333332,0.6333333333333333,0.28867513459481287,3,"[0.08333333333333331, 1.0]",C,X,linsvm
0.7333333333333333,0.5,0.0,3,"[0.1428571428571429, 1.0]",C,Q1,logreg
0.5333333333333332,0.5,0.28867513459481287,3,"[0.08333333333333331, 1.0]",C,X,logreg
0.6,0.5333333333333333,0.5773502691896258,3,"[0.0, 1.0]",D,Q1,linsvm
0.6666666666666666,0.5333333333333333,0.0,3,"[0.1428571428571429, 1.0]",D,X,linsvm
0.6,0.5,0.5773502691896258,3,"[0.0, 1.0]",D,Q1,logreg
0.6,0.5,0.5773502691896258,3,"[0.0, 1.0]",D,X,logreg
