seed,path,branch,n,h_auc,h_bacc,h_fold_sd,z_auc,z_bacc,z_fold_sd
0,C,B,8,1.0,1.0,0.0,1.0,1.0,0.0
0,C,C,8,0.7333333333333333,0.8,0.28867513459481287,0.7333333333333333,0.7,0.28867513459481287
0,C,D,8,0.5333333333333332,0.5333333333333333,0.28867513459481287,0.8,0.5333333333333333,0.28867513459481287
0,O,B,8,1.0,1.0,0.0,1.0,1.0,0.0
0,O,C,8,0.7333333333333333,0.8,0.28867513459481287,0.7333333333333333,0.7,0.28867513459481287
0,O,D,8,0.5333333333333332,0.5333333333333333,0.28867513459481287,0.8,0.5333333333333333,0.28867513459481287
0,P,B,8,0.8666666666666667,0.9,0.0,0.8666666666666667,0.9,0.0
0,P,C,8,1.0,0.9,0.0,1.0,1.0,0.0
0,P,D,8,0.6666666666666666,0.7333333333333334,0.28867513459481287,0.6,0.6333333333333333,0.28867513459481287
1,C,B,8,1.0,0.8333333333333333,0.0,1.0,1.0,0.0
1,C,C,8,0.8,0.6333333333333333,0.28867513459481287,0.6,0.5333333333333333,0.28867513459481287
1,C,D,8,0.39999999999999997,0.43333333333333335,0.5773502691896258,0.6666666666666666,0.5333333333333333,0.28867513459481287
1,O,B,8,1.0,0.8333333333333333,0.0,1.0,1.0,0.0
1,O,C,8,0.8,0.6333333333333333,0.28867513459481287,0.6,0.5333333333333333,0.28867513459481287
1,O,D,8,0.39999999999999997,0.43333333333333335,0.5773502691896258,0.6666666666666666,0.5333333333333333,0.28867513459481287
1,P,B,8,0.8666666666666667,0.9,0.0,0.8666666666666667,0.9,0.0
1,P,C,8,0.9333333333333333,0.9,0.0,0.8666666666666667,0.9,0.0
1,P,D,8,0.7333333333333333,0.6333333333333333,0.0,0.5333333333333332,0.6333333333333333,0.28867513459481287
2,C,B,8,1.0,1.0,0.0,1.0,1.0,0.0
2,O,B,8,1.0,1.0,0.0,1.0,1.0,0.0
2,P,B,8,0.8666666666666667,0.9,0.0,0.8666666666666667,0.9,0.0
