path,seed,stage,auc,bacc,fold_sd,ci_lo,ci_hi,n_feat
O,6,z,0.4715364795525116,0.47788103679887245,0.02483871494532787,0.4385714585936532,0.5073341802674128,32
P,2,h,0.5303838446123015,0.5252989495474465,0.033254459623636726,0.49537831452250347,0.5644285284185842,32
P,3,z,0.4762712237662138,0.46634587857032744,0.03898736754838877,0.4419639760246217,0.5116156160076409,32
P,2,z,0.5215353784492062,0.517346781475038,0.05610141092911514,0.48556861225728637,0.5587540124158802,32
P,0,h,0.5049703803210817,0.4991191173555903,0.035758826867923,0.4700214857261397,0.5391933889594729,32
P,8,z,0.5041863947675571,0.5060010130150411,0.04177477349258138,0.468420218953629,0.539355229264132,32
P,1,h,0.5082824990640622,0.5163139465744676,0.05730013072780491,0.4716769753711743,0.5430974945484441,32
O,3,z,0.5165055385496267,0.5129489748728225,0.014248245575632475,0.4803383087143332,0.5528061657908705,32
P,7,h,0.47156731044506595,0.46766940474355306,0.04605552976741705,0.4361100045408473,0.5055883431055256,32
P,7,z,0.5440859741460944,0.5322799445043934,0.03997058441958399,0.508376320244398,0.5777367626628083,32
O,8,z,0.4678896254046555,0.4850910612433659,0.03135017547612695,0.4322012155247966,0.5041118486141843,32
P,1,z,0.49765024554603715,0.5037063137263538,0.05798057241152436,0.4594209292503715,0.534220070366237,32
P,3,h,0.4658019335374045,0.47568763901429234,0.046466688263644834,0.431144584252208,0.5015000015938404,32
P,0,z,0.5121055297408003,0.498275672223568,0.020640742775490897,0.4782186677299798,0.5470942494351541,32
P,5,h,0.4684710079499659,0.48282719284723297,0.05312689443656173,0.4326584616887437,0.5043540103214225,32
P,8,h,0.5089960140060341,0.4903917725561012,0.015311711881178953,0.47174211705062724,0.5437603793877336,32
O,2,h,0.5039177255610121,0.5015393424211059,0.022372788210827325,0.4673694460949363,0.540232853874803,32
O,3,h,0.5275429980840802,0.5237441916800634,0.042250525099113576,0.49200865542414285,0.5628588277620952,32
O,2,z,0.5245127617873109,0.5219978418375212,0.04628912854106977,0.4896677729201096,0.5581461270754876,32
P,6,h,0.5163910238058534,0.5249113611839062,0.037324226546579034,0.4782387306233404,0.5529041030316353,32
O,8,h,0.5166068400537338,0.5128190446827721,0.03449269052237932,0.48032973547450425,0.5519254035926696,32
O,0,h,0.5056134246515008,0.4990178158514832,0.032542012763762174,0.4703285805718463,0.5419361333432594,32
O,7,h,0.5254464973903852,0.5060648770067607,0.048055105557775646,0.4898054044860611,0.5608166863865088,32
P,0,WGIN1_preBN,0.6327776431984848,0.608811028650708,0.04474616501483265,0.5948821816980226,0.6663314378771527,2880
P,6,z,0.4916029861921646,0.4926534387456231,0.023164504693384855,0.45895219333580456,0.526756075831575,32
O,7,z,0.5176991345328018,0.49517276310863484,0.0468799515964189,0.4822120936642976,0.553461815801933,32
P,4,BN1,0.6371424167015349,0.610718139575855,0.046301857999994624,0.598867394469296,0.6714415215912374,2880
P,5,z,0.5056046158250567,0.5070052192296681,0.030796669845072937,0.46817149923801193,0.5401222676327747,32
O,1,h,0.49654914224052504,0.4900019819859499,0.040742552120098155,0.4584361922788922,0.5310567558089178,32
P,0,BN1,0.6327776431984848,0.608811028650708,0.04474616501483265,0.5948821816980226,0.6663314378771527,2880
O,5,h,0.4938888766544078,0.5083287454028937,0.027131455738647222,0.45819142377534106,0.531139091870693,32
P,2,WGIN2_preBN,0.6267127661917242,0.5936840714395825,0.04720958918094311,0.5884349449781157,0.6584384414099436,2880
O,0,z,0.5115902133938206,0.5092008192208592,0.022316862286950574,0.4763484739072389,0.5490467379796884,32
O,1,z,0.4908190006386399,0.4859939659538858,0.025916696614925214,0.45465814454653103,0.5259844889633032,32
P,4,WGIN1_preBN,0.6371424167015349,0.610718139575855,0.046301857999994624,0.598867394469296,0.6714415215912374,2880
O,6,h,0.47335109779999557,0.4777533088154331,0.024192178019752528,0.4398060027162298,0.5096038047592049,32
P,3,BN1,0.6403620427668524,0.6086172344689378,0.0460781943249474,0.6022974499042676,0.674716343452273,2880
O,5,z,0.4558083199365764,0.482021185227598,0.025221494177810506,0.4204664159641492,0.4906703314951862,32
P,1,final_nodes_postNorm,0.6275011561584708,0.5964962892818604,0.05293498420381998,0.590907507466687,0.6593836340550047,2880
P,2,BN2_final_nodes_preNorm,0.6267127661917242,0.5936840714395825,0.04720958918094311,0.5884349449781157,0.6584384414099436,2880
P,1,BN2_final_nodes_preNorm,0.6275011561584708,0.5964962892818604,0.05293498420381998,0.590907507466687,0.6593836340550047,2880
P,2,final_nodes_postNorm,0.6267127661917242,0.5936840714395825,0.04720958918094311,0.5884349449781157,0.6584384414099436,2880
P,3,final_nodes_postNorm,0.6284437005879893,0.5986302274879429,0.05090029120675266,0.5900379072739811,0.6638553647565788,2880
P,3,postBN1_toWGIN2,0.6403620427668524,0.6086172344689378,0.0460781943249474,0.6022974499042676,0.674716343452273,2880
P,3,WGIN1_preBN,0.6403620427668524,0.6086172344689378,0.0460781943249474,0.6022974499042676,0.674716343452273,2880
P,7,WGIN2_preBN,0.6239247726221674,0.589742121605849,0.045989598482913396,0.5853514687241432,0.6569162890136325,2880
P,3,BN2_final_nodes_preNorm,0.6284437005879893,0.5986302274879429,0.05090029120675266,0.5900379072739811,0.6638553647565788,2880
P,3,WGIN2_preBN,0.6284437005879893,0.5986302274879429,0.05090029120675266,0.5900379072739811,0.6638553647565788,2880
P,9,BN1,0.630698760157678,0.6067101235437908,0.04919115441432018,0.5926526406385273,0.664845448016663,2880
P,0,postBN1_toWGIN2,0.6327776431984848,0.608811028650708,0.04474616501483265,0.5948821816980226,0.6663314378771527,2880
P,5,WGIN1_preBN,0.638600277478033,0.6134004272280826,0.044122132773762444,0.600270976252725,0.6726715323086744,2880
P,1,WGIN1_preBN,0.5954810720341783,0.5785901473276223,0.06040827096786533,0.5588994555726045,0.6278993272577252,2880
P,1,postBN1_toWGIN2,0.5954810720341783,0.5785901473276223,0.06040827096786533,0.5588994555726045,0.6278993272577252,2880
P,0,BN2_final_nodes_preNorm,0.6318439075954106,0.600180580942104,0.04857688923249794,0.5929825236832094,0.6643265884659233,2880
P,5,BN1,0.638600277478033,0.6134004272280826,0.044122132773762444,0.600270976252725,0.6726715323086744,2880
