auc,bacc,fold_sd,ci_lo,ci_hi,n_feat,stage,path,seed
0.4666666666666667,0.5333333333333333,0.5,0.0,1.0,270,X,-,-1
0.8,0.6333333333333333,0.28867513459481287,0.4,1.0,270,Q1,-,-1
1.0,0.9,0.0,0.9999999999999999,1.0,2880,WGIN1_preBN,P,0
1.0,0.9,0.0,0.9999999999999999,1.0,2880,BN1,P,0
1.0,0.9,0.0,0.9999999999999999,1.0,2880,postBN1_toWGIN2,P,0
0.8666666666666667,0.9,0.0,0.4966666666666667,1.0,2880,WGIN2_preBN,P,0
0.8666666666666667,0.9,0.0,0.4966666666666667,1.0,2880,BN2_final_nodes_preNorm,P,0
0.8666666666666667,0.9,0.0,0.4966666666666667,1.0,2880,final_nodes_postNorm,P,0
0.8666666666666667,0.9,0.0,0.4966666666666667,1.0,32,h,P,0
0.8666666666666667,0.9,0.0,0.4966666666666667,1.0,32,z,P,0
1.0,0.9,0.0,0.9999999999999999,1.0,2880,WGIN1_preBN,P,1
1.0,0.9,0.0,0.9999999999999999,1.0,2880,BN1,P,1
1.0,0.9,0.0,0.9999999999999999,1.0,2880,postBN1_toWGIN2,P,1
0.8666666666666667,0.9,0.0,0.4966666666666667,1.0,2880,WGIN2_preBN,P,1
0.8666666666666667,0.9,0.0,0.4966666666666667,1.0,2880,BN2_final_nodes_preNorm,P,1
0.8666666666666667,0.9,0.0,0.4966666666666667,1.0,2880,final_nodes_postNorm,P,1
0.8666666666666667,0.9,0.0,0.4966666666666667,1.0,32,h,P,1
0.8666666666666667,0.9,0.0,0.4966666666666667,1.0,32,z,P,1
1.0,0.9,0.0,0.9999999999999999,1.0,2880,WGIN1_preBN,O,0
1.0,0.9,0.0,0.9999999999999999,1.0,2880,BN1,O,0
1.0,0.9,0.0,0.9999999999999999,1.0,2880,postBN1_toWGIN2,O,0
0.8666666666666667,0.9,0.0,0.4966666666666667,1.0,2880,WGIN2_preBN,O,0
0.8666666666666667,0.9,0.0,0.4966666666666667,1.0,2880,BN2_final_nodes_preNorm,O,0
1.0,1.0,0.0,0.9999999999999999,1.0,2880,final_nodes_postNorm,O,0
1.0,1.0,0.0,1.0,1.0,32,h,O,0
1.0,1.0,0.0,1.0,1.0,32,z,O,0
1.0,0.9,0.0,0.9999999999999999,1.0,2880,WGIN1_preBN,O,1
1.0,0.9,0.0,0.9999999999999999,1.0,2880,BN1,O,1
1.0,0.9,0.0,0.9999999999999999,1.0,2880,postBN1_toWGIN2,O,1
0.8666666666666667,0.9,0.0,0.4966666666666667,1.0,2880,WGIN2_preBN,O,1
0.8666666666666667,0.9,0.0,0.4966666666666667,1.0,2880,BN2_final_nodes_preNorm,O,1
0.8666666666666667,0.7333333333333334,0.0,0.4966666666666667,1.0,2880,final_nodes_postNorm,O,1
1.0,0.8333333333333333,0.0,1.0,1.0,32,h,O,1
1.0,1.0,0.0,0.9999999999999999,1.0,32,z,O,1
